QS_name,country,proposed_ETER_name,similarity,accept
Wageningen University & Research,Netherlands,Wageningen University and Research Centre,84.9,accept=true
Adam Mickiewicz University,Poland,Adam Mickiewicz University in Poznań,83.9,accept=true
Universitat Politècnica de Catalunya,Spain,Universidad Politécnica de Cartagena,83.3,accept=false
Technische Universität Braunschweig,Germany,Technische Universität München,83.1,accept=false
Universita' degli studi di Salerno,Italy,Università degli Studi di SIENA,83.1,accept=true
Universidad de Córdoba - España,Spain,Universidad de Córdoba,83.0,accept=true
Universität Jena,Germany,Universität Vechta,82.4,accept=false
Jagiellonian University,Poland,Jagiellonian University in Cracow,82.1,accept=true
Universita' degli Studi di Ferrara,Italy,Università degli Studi di FOGGIA,81.8,accept=false
Institut Polytechnique de Paris,France,Institut Catholique de Paris,81.4,accept=false
Universität des Saarlandes,Germany,Universität des Saarlandes Saarbrücken,81.2,accept=true
Università della Calabria,Italy,University of Calabria,80.9,accept=true
Nantes University,France,Le Mans University,80.0,accept=false
Universität Düsseldorf,Germany,Universität Kassel,80.0,accept=false
Verona University,Italy,Marconi University,80.0,accept=false
Goethe Universität Frankfurt am Main,Germany,Johann Wolfgang Goethe-Universität Frankfurt am Main,79.5,accept=true
University POLITEHNICA of Bucharest,Romania,University of Bucharest,79.3,accept=true
Catania University,Italy,Humanitas University,78.9,accept=false
Paris Lodron University of Salzburg,Austria,University of Salzburg,77.2,accept=true
Pavol Josef Safarik University,Slovakia,Pavol Jozef Šafárik University in Košice,77.1,accept=true
Babes-Bolyai University,Romania,"""Babes-Bolyai"" University Cluj-Napoca",76.7,accept=true
Université Sorbonne Paris Nord,France,Université Sorbonne Nouvelle - Paris 3,76.5,accept=true
University of Zilina,Slovakia,University of Žilina in Žilina,76.0,accept=true
"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,University G. d’Annunzío in Chieti-Pescara,75.8,accept=true
Leibniz Universität Hannover,Germany,Gottfried Wilhelm Leibniz Universität Hannover,75.7,accept=true
PSL University,France,PSL Research University,75.7,accept=true
Universidad del Pais Vasco,Spain,Universidad de Vigo,75.6,accept=false
AGH University of Krakow,Poland,University of Wrocław,75.6,accept=false
Université Paul-Valéry Montpellier 3,France,Université de Montpellier,75.4,accept=true
Lodz University,Poland,Kozminski University,74.3,accept=false
Università Vita-Salute San Raffaele,Italy,"Libera Università ""Vita Salute S.Raffaele"" MILANO",73.8,accept=true
Perugia University,Italy,Humanitas University,73.7,accept=false
Karl-Franzens-Universität Graz,Austria,Universität Graz,69.6,accept=true
University of Maynooth,Ireland,University of Limerick,68.2,accept=false
Universitat Jaume I,Spain,Universitat Ramón Llull,66.7,accept=false
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,Ostbayerische Technische Hochschule Amberg-Weiden,66.0,accept=false
Cracow University of Technology of Tadeusz Kościuszko,Poland,Czestochowa University of Technology,65.2,accept=false
Alma Mater Studiorum - University of Bologna,Italy,University of Bologna,64.6,accept=true
Université Paul Sabatier Toulouse III,France,Université de Toulon,63.2,accept=false
"Trinity College Dublin, The University of Dublin",Ireland,Trinity College Dublin,62.9,accept=true
Johannes Kepler University Linz,Austria,University of Linz,61.2,accept=true
Sciences Po Paris,France,University of Paris,55.6,accept=false
University of Galway / Ollscoil na Gaillimhe,Ireland,University of Limerick,54.5,accept=false
Sorbonne University (merged from Paris IV & UPMC),France,University of Paris,52.9,accept=false
