ETER_ID_Year,ETER_ID,Institution_Name,English_Institution_Name,Reference_year,Country_Code,Institution_Category_standardized,Legal_status,Foundation_year,Region_of_establishment_(NUTS_2),Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Total_core_budget_(EURO),Total_third_party_funding_(EURO),Public_third_party_funding_(EURO),Private_third_party_funding_(EURO),Student_fees_funding_(EURO),R&D_Expenditure_(EURO),Total_Current_expenditure_(EURO),Personnel_expenditure_(EURO),Total_students_enrolled_at_ISCED_5,Total_students_enrolled_at_ISCED_6,Total_students_enrolled_at_ISCED_7,Total_students_enrolled_ISCED_5_7,Total_students_enrolled_at_ISCED_8,Total_graduates_at_ISCED_5,Total_graduates_at_ISCED_6,Total_graduates_at_ISCED_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Total_academic_personnel_(FTE),Total_academic_personnel_(HC),Total_personnel_(FTE),Total_core_budget_/_Total_current_revenues,Total_third_party_funding_/_Total_current_revenues,Student_fees_funding_/_Total_current_revenues,PhD_intensity,Academic_staff_/_total_staff_(FTE)
AT0011.2020,AT0011,Universität Linz,University of Linz,2020,AT,1.0,0.0,1966.0,AT31,Linz,191609912.06,148414459.46,148414459.46,26823749.53,,,3611699.9,,192145227.48,146704220.54999998,28.5,6987.317730438,3343.821559075,16715.26113156,1264.53003663,0.0,866.816741667,610.890005,1884.04008,"109,8",775.8969,1470.0,2072.1489,0.7745656676337603,0.139991450555024,0.0188492331172775,"0,05827901495598756",1.0
AT0012.2020,AT0012,Universität Klagenfurt,University of Klagenfurt,2020,AT,1.0,0.0,1970.0,AT21,Klagenfurt,80265912.14,69674818.06,69674818.06,8038358.600000001,,,1293229.18,,75701010.52000001,64117278.52,211.033333333,4397.273732543,2648.8458771,7362.486276309,475.965079365,0.0,509.923133393,522.055608333,1070.978741726,50,417.2986,776.0,920.2754,0.8680499131246776,0.1001466050243031,0.016111810674304,"0,04668626747849309",1.0
AT0013.2020,AT0013,Universität für Weiterbildung Krems,Danube University Krems,2020,AT,1.0,0.0,1994.0,AT12,Krems an der Donau,48718721.81,20555325.52,20555325.52,9080543.83,,,18449312.09,,51925464.870000005,41492955.89,767.416666667,0.0,6663.886111111,7431.302777778,16.5,0.0,0.0,1125.0,1125.0,"2,5",253.4418,1111.0,581.7488,0.421918407468991,0.1863871524670446,0.3786903967216377,"0,0022222222222222222",1.0
AT0014.2020,AT0014,Medizinische Universität Wien,Medical University of Vienna,2020,AT,1.0,0.0,2004.0,AT13,Vienna,593512026.8999999,478380612.01,478380612.01,98931609.42,,,1047406.54,,578023977.7,461698136.96,140.666666667,0.0,380.452020202,5419.586116661,1264.73015873,0.0,0.0,41.0,769.0,129,1663.03,1961.0,4597.87,0.8060167112512477,0.1666884661743659,0.0017647604303332,"0,16775032509752927",1.0
AT0015.2020,AT0015,Medizinische Universität Graz,Medical University of Graz,2020,AT,1.0,0.0,2004.0,AT22,Graz,296086422.27,225359361.32,225359361.32,66450134.7,,,387952.86,,287475469.26,166456338.28000003,218.5,450.627160833,264.583333333,3507.268827499,448.533333333,0.0,97.838,45.5,435.838,52,637.3301,786.0,1939.3201,0.7611269695930053,0.2244281726617115,0.0013102689985771,"0,11931038596909863",1.0
AT0016.2020,AT0016,Medizinische Universität Innsbruck,Medical University of Innsbruck,2020,AT,1.0,0.0,2004.0,AT33,Innsbruck,245863874.1,191169867.42,193344200.42,48087646.17999999,,,396770.79,,241312941.46,142377571.61,0.0,100.333333333,129.5,2912.339682539,342.666666667,0.0,20.0,41.5,434.0,42,493.7902,549.0,1593.124,0.786387187331805,0.1955864657059839,0.0016137823885367,"0,0967741935483871",1.0
AT0017.2020,AT0017,Akademie der bildenden Künste Wien,Academy of Fine Arts Vienna,2020,AT,1.0,0.0,1692.0,AT13,Vienna,37011037.9,33077839.97,33077839.97,2602217.54,,,412415.28,,35840108.370000005,23830141.450000003,0.0,248.875,143.166666667,1084.0,203.833333333,0.0,38.5,19.5,191.0,8,147.3875,256.0,328.4375,0.8937290561635398,0.0703092290205674,0.0111430347107342,"0,041884816753926704",1.0
AT0018.2020,AT0018,Universität für angewandte Kunst Wien,University of Applied Arts Vienna,2020,AT,1.0,0.0,1863.0,AT13,Vienna,49462478.760000005,47159764.13,47159764.13,1618395.78,,,226415.82,,48272733.03,33201639.09,0.0,263.222222222,297.533333333,1237.705555555,194.0,0.0,39.0,66.0,232.0,14,230.8911,446.0,470.7688,0.953445223779157,0.0327196659078231,0.0045775267571729,"0,0603448275862069",1.0
AT0019.2020,AT0019,Universität für Musik und darstellende Kunst Wien,University of Music and Performing Arts in Vienna,2020,AT,1.0,0.0,1817.0,AT13,Vienna,105497342.12,102312277.59,102312277.59,1659145.34,,,771949.19,,101808101.86,80370551.22000001,108.333333333,810.096428571,631.176428571,2312.585357142,133.166666667,0.0,173.25,120.8,405.05,9,591.9125,953.0,946.2396,0.9698090542757268,0.0157268923241001,0.0073172382781163,"0,0222194790766572",1.0
AT0020.2020,AT0020,Universität Mozarteum Salzburg,University of Music and Dramatic Arts Mozarteum Salzburg,2020,AT,1.0,0.0,1841.0,AT32,Salzburg,60023004.09,56780927.89,56780927.89,1744302.7000000002,,,439997.96,,57060232.52,42217250.38,33.0,690.352955833,443.499636979,1279.185926145,63.833333333,0.0,174.3032,116.773995,313.327195,3,330.6822,521.0,503.7135,0.9459861056747716,0.0290605698006142,0.0073304888129267,"0,009574655656685018",1.0
AT0021.2020,AT0021,Universität für Musik und darstellende Kunst Graz,University of Music and Performing Arts Graz,2020,AT,1.0,0.0,1920.0,AT22,Graz,57030780.220000006,55053030.34,55053030.34,1303569.19,,,421264.52,,54525497.28,42576071.1,14.75,870.979588809,484.551875565,1439.031464374,73.5,0.0,179.3827,110.6,311.4827,4,281.3352,428.0,480.5539,0.9653213602835048,0.0228572918864408,0.0073866168124466,"0,01284180469733953",1.0
AT0022.2020,AT0022,Universität für künstlerische und industrielle Gestaltung Linz,University of Art and Design Linz,2020,AT,1.0,0.0,1973.0,AT31,Linz,25365046.64,23664280.15,23664280.15,577747.95,,,264173.28,,25484778.41,17640150.45,22.0,396.958949167,423.696818939,1020.239101439,97.0,0.0,69.0839,89.997995,188.581895,8,130.0711,350.0,249.7586,0.93294841858016,0.022777326539148,0.0104148548886721,"0,042421887848777845",1.0
AT0023.2020,AT0023,Katholische Privatuniversität Linz,Catholic Private University Linz,2020,AT,1.0,1.0,1971.0,AT31,Linz,,,,,,,,,,,17.5,82.0,71.083333333,234.25,20.833333333,0.0,7.0,7.0,18.0,1,48.74,94.0,61.7,,,,"0,05555555555555555",1.0
AT0025.2020,AT0025,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik","Private University for Health Sciences, Medical Informatics and Technology",2020,AT,1.0,1.0,2001.0,AT33,Hall in Tirol,,,,,,,,,,,49.0,566.866666667,325.0,940.866666667,106.833333333,0.0,134.0,57.0,191.0,10,114.2,357.0,155.72,,,,"0,05235602094240838",1.0
AT0026.2020,AT0026,Paracelsus Medizinische Privatuniversität Salzburg,Paracelsus Medical University,2020,AT,1.0,1.0,2002.0,AT32,Salzburg,,,,,,,,,,,0.0,397.166666667,537.666666667,1622.833333334,167.0,0.0,164.166666667,210.0,387.166666667,"16,5",195.25,1453.0,238.46,,,,"0,042617305208745064",1.0
AT0027.2020,AT0027,Webster University Vienna - Private University,Webster University Vienna - Private University,2020,AT,1.0,1.0,1981.0,AT13,Vienna,,,,,,,,,,,9.0,377.166666667,97.333333333,483.5,,0.0,65.0,36.0,101.0,,24.11,30.0,53.51,,,,,1.0
AT0028.2020,AT0028,Anton Bruckner Privatuniversität,Anton Bruckner Private University,2020,AT,1.0,1.0,1923.0,AT31,Linz,,,,,,,,,,,41.333333333,449.916666667,201.033333333,692.283333333,10.0,0.0,66.0,33.0,99.0,0,127.69,224.0,157.41,,,,0,1.0
AT0030.2020,AT0030,NDU New Design University Privatuniversität St. Pölten,New Design University St. Pölten (NDU),2020,AT,1.0,1.0,2004.0,AT12,St. Pölten,,,,,,,,,,,40.333333333,464.666666667,47.5,552.5,,0.0,138.5,21.0,159.5,,35.25,256.0,44.3,,,,,1.0
AT0031.2020,AT0031,Musik und Kunst Privatuniversität der Stadt Wien,Music and Arts University of the City of Vienna,2020,AT,1.0,1.0,2005.0,AT13,Vienna,,,,,,,,,,,45.666666667,454.0,241.833333333,741.5,,0.0,56.0,35.5,91.5,,171.72,310.0,205.12,,,,,1.0
AT0032.2020,AT0032,Sigmund Freud Privatuniversität Wien,Sigmund Freud Private University Vienna,2020,AT,1.0,1.0,2003.0,AT13,Vienna,,,,,,,,,,,699.233333333,2236.866666667,1850.0,4786.1,166.952380952,0.0,474.5,407.5,882.0,15,223.81,1311.0,311.06,,,,"0,017006802721088437",1.0
AT0033.2020,AT0033,MODUL University Vienna,MODUL University Vienna,2020,AT,1.0,1.0,2007.0,AT13,Vienna,,,,,,,,,,,0.0,609.833333333,188.0,797.833333333,24.0,0.0,161.0,32.0,193.0,1,68.3,82.0,95.29,,,,"0,0051813471502590676",1.0
AT0034.2020,AT0034,Privatuniversität Schloss Seeburg,Private University Schloss Seeburg,2020,AT,1.0,1.0,2007.0,AT32,Seekirchen am Wallersee,,,,,,,,,,,0.0,744.066666667,207.166666667,951.233333334,38.0,0.0,106.5,43.0,149.5,1,24.28,88.0,36.59,,,,"0,006688963210702341",1.0
AT0035.2020,AT0035,Private Pädagogische Hochschule Stiftung Burgenland,University of Education in Burgenland,2020,AT,0.0,2.0,2007.0,AT11,Eisenstadt,,,,,,,,,,,202.083333333,450.516346833,138.230867432,790.830547598,,0.0,81.571675,8.514765,90.08644,,50.22099999999996,421.0,,,,,,1.0
AT0036.2020,AT0036,Pädagogische Hochschule Kärnten,"University College of Teacher Education, Carinthia",2020,AT,0.0,0.0,2007.0,AT21,Klagenfurt,,,,,,,,,,,115.0,511.806430466,163.814953106,790.6213835719999,,0.0,92.578375,26.142535,118.72091,,76.80779999999997,131.0,,,,,,1.0
AT0037.2020,AT0037,Pädagogische Hochschule Niederösterreich,,2020,AT,0.0,0.0,2007.0,AT12,Baden bei Wien,,,,,,,,,,,425.458333333,1104.446989766,432.057916667,1961.963239766,,0.0,173.290632353,98.225,271.515632353,,111.14649999999988,1282.0,,,,,,1.0
AT0038.2020,AT0038,Pädagogische Hochschule Oberösterreich,"University of Education, Upper Austria",2020,AT,0.0,0.0,2007.0,AT31,Linz,,,,,,,,,,,268.783333333,1333.423030464,453.602734905,2055.809098702,,0.0,201.676,139.104,340.78,,147.55329999999967,571.0,,,,,,1.0
AT0039.2020,AT0039,Private Pädagogische Hochschule der Diözese Linz,Private University College of Education of the Diocese of Linz,2020,AT,0.0,2.0,2007.0,AT31,Linz,,,,,,,,,,,98.125,981.478003493,464.36727643,1543.970279923,,0.0,174.238,135.234,309.472,,115.61500000000002,280.0,,,,,,1.0
AT0040.2020,AT0040,Pädagogische Hochschule Salzburg Stefan Zweig,Salzburg University of Education Stefan Zweig,2020,AT,0.0,0.0,2007.0,AT32,Salzburg,,,,,,,,,,,165.666666667,847.306452663,214.785531385,1227.758650715,,0.0,145.708,52.472,198.18,,100.523,302.0,,,,,,1.0
AT0041.2020,AT0041,Pädagogische Hochschule Steiermark,University of Teacher Education Styria,2020,AT,0.0,0.0,2007.0,AT22,Graz,,,,,,,,,,,232.433333333,1991.827318686,416.266383596,2640.527035615,,0.0,344.720375,50.769008333,395.489383333,,126.19399999999987,625.0,,,,,,1.0
AT0042.2020,AT0042,Kirchliche Pädagogische Hochschule der Stiftung der Diözese Graz-Seckau,Catholic University College for Education Graz,2020,AT,0.0,2.0,2007.0,AT22,Graz,,,,,,,,,,,64.5,457.881001309,174.064711653,696.445712962,,0.0,103.66265,42.988575,146.651225,,63.19160000000001,209.0,,,,,,1.0
AT0043.2020,AT0043,Pädagogische Hochschule Tirol,Pedagogical University Tyrol,2020,AT,0.0,0.0,2007.0,AT33,Innsbruck,,,,,,,,,,,106.916666667,887.000741906,194.485985175,1188.403393748,,0.0,190.4004,76.02415,266.42455,,119.48999999999997,414.0,,,,,,1.0
