BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
National Academy of Art;907
"National Academy of Music ""Prof. Pantcho Vladigerov""";636
New Bulgarian University;7996
Higher School of Civil Engineering “Lyuben Karavelov“;387
Todor Kableshkov Higher School of Transport;1099
Academy of Ministry of Interior;1406
"""G. S. Rakovski"" National Defence College – Sofia";1366
State University of Library Studies and Information Technologies;2045
University of Telecommunications and Post;1525
Management, Trade and Marketing College;315
Luben Groys Theatre College;94
University of finance, business and entrepreneurship;716
International Business School;1071
Trakia University;6620
Konstantin Preslavsky University of Shumen;5953
Bulgarian Academy of Sciences;0
European Polytechnical University - Pernik;77
"Bulgarian Air Force Academy ""Georgi Benkovski"" - Dolna Mitropolia";415
University of Cyprus;7057
Open University of Cyprus;3020
Cyprus University of Technology;2713
University of Nicosia;13102
Frederick University;5576
European University - Cyprus;9407
The Cyprus Police Academy;439
Alexander College;459
American College;637
Casa College;215
C.D.A. College;997
College of Tourism and Hotel Management;208
Cyprus College;550
;333
Global College;1008
Intercollege;283
KES College;241
Internapa College;166
The CTL Eurocollege;393
The Cyprus Institute of Marketing;286
The Philips College;91
Ledra College;267
Neapolis University;3347
The Cyprus Institute;15
Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics;46
University of Central Lancashire - Cyprus;1487
City Unity College Nicosia;862
American University of Cyprus;362
Philips University;738
Post-Secondary Institutes of Vocational Education and Training;444
American University of Beirut Mediterraneo;47
Academy of Performing Arts in Prague;1411
Academy of Fine Arts in Prague;318
Czech University of Life Sciences, Prague;19232
Czech Technical University in Prague;15806
Janáček Academy of Music and Performing Arts in Brno;646
University of South Bohemia in České Budějovice;8500
Masaryk University;30751
Mendel University in Brno;8692
University of Ostrava;8822
Silesian University in Opava;5256
Technical University of Liberec;6025
University of Hradec Králové;6037
University of J. E. Purkyně in Ústí nad Labem;8072
Charles University;45556
Palacký University, Olomouc;21748
University of Pardubice;6553
Tomas Bata University in Zlín;8458
University of Veterinary and Pharmaceutical Sciences, Brno;2072
VŠB – Technical University of Ostrava;10960
University of Economics, Prague;14118
University of Chemistry and Technology, Prague;3367
College of Polytechnics, Jihlava;2179
