BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
University of Oulu;12916
University of Jyväskylä;13128
Hanken School of Economics;2533
University of Vaasa;5293
Lappeenranta-Lahti University of Technology (LUT University);7243
University of Lapland;4339
Finnish National Defence University;1051
Aalto University;17811
University of Eastern Finland;14889
University of the Arts Helsinki;1720
Lapland University of Applied Sciences;6254
Åland University of Applied Sciences;465
HAAGA-HELIA University of Applied Sciences;10195
Metropolia University of Applied Sciences;17473
Novia University of Applied Sciences;5014
Tampere University;19954
Tampere University of Applied Sciences;11183
Häme University of Applied Sciences;9627
Karelia University of Applied Sciences;4492
Oulu University of Applied Sciences;9594
Seinäjoki University of Applied Sciences;5775
Kajaani University of Applied Sciences;3540
JAMK University of Applied Sciences;8869
Satakunta University of Applied Sciences;7407
Turku University of Applied Sciences;12677
Arcada University of Applied Sciences;2653
Centria University of Applied Sciences;4447
Savonia University of Applied Sciences;8418
Police University college;898
Diaconia University of Applied Sciences;3362
Vaasa University of Applied Sciences;3696
Laurea University of Applied Sciences;10187
Humak University of Applied Sciences;2491
South-Eastern Finland University of Applied Sciences;12221
LAB University of Applied Sciences;9837
University of Technology of Troyes;4919
;464
;1703
;2328
Aix-Marseille University;71899
University of Caen Lower Normandy;29423
École supérieure d'arts et médias de Caen - Cherbourg;m
;1628
;424
École d'ingénieurs en génie des systèmes industriels;6545
University of La Rochelle;6866
University of Burgundy;32069
;461
;1571
;1513
University of Franche-Comté;23388
;1434
;428
;946
University of Western Brittany;23809
;m
;752
University of Nîmes;5287
;m
;5654
;1368
Catholic University of Toulouse;365
French Civil Aviation University;4490
National Polytechnic Institute of Toulouse;6840
University of Toulouse II - Jean Jaurès;26752
Paul Sabatier University;30674
;m
;4858
;864
Bordeaux Montaigne University;13031
;m
French national school for the judiciary;746
;5251
;884
Paul Valéry University, Montpellier 3;19180
;m
;979
;m
;3699
University of Rennes 2 – Upper Brittany;17970
;222
Catholic University of Rennes;4438
École des métiers de l'environnement;213
;1031
;662
;580
University of Tours;29473
;498
Grenoble institute of technology;13349
;1274
;201
Jean Monnet University;18776
;3846
;1612
;352
University of Orléans;18012
;1222
;867
;m
;6706
;353
Facultés libres de l'Ouest;382
University of Angers;25215
;10052
;214
University of Reims Champagne-Ardenne;26555
;372
University of Lorraine;64321
;1078
University of Southern Brittany;8612
;2096
;783
;m
Institut catholique de Lille;1221
;m
;305
;4200
;8359
University of the Littoral Opal Coast;8786
University of technology of compiègne;6822
;201
Artois University;10416
;m
;382
University of Pau and Pays de l'Adour;11484
;467
University of Perpignan;7170
;873
;3839
University of Strasbourg;54498
University of Upper Alsace;9073
;1203
;m
;5363
;10706
;236
Catholic Institute of Lyon;m
Université Claude Bernard Lyon 1;48323
Lumière University Lyon 2;22494
;m
Jean Moulin University Lyon 3;22751
;250
;2762
;328
;m
;203
;489
;2543
Le Mans University;8996
University of Savoy Mont Blanc;13365
;348
;259
Paris Dauphine University;10235
Pantheon-Sorbonne University;35569
University of Paris 3 - Sorbonne Nouvelle;13108
;1251
;1448
;10894
;832
;822
Paris Institute of political studies;16923
;3191
;537
;3296
;234
;610
;4758
;941
;834
National museum of natural history;278
;3438
;34
;m
;324
;m
;229
;269
School for advanced studies in the social sciences;1352
;8344
;1138
;694
;347
;m
;3675
University of Rouen;33494
;370
University of Le Havre;6855
;m
;m
;8204
;m
Versailles Saint-Quentin-en-Yvelines University;15686
;29885
ESIEE Amiens;m
;19733
National University Institute Jean-Francois Champollion;3810
University of Toulon;9865
;532
University of Avignon;5637
Catholic Institute of Higher Studies;545
;1293
University of Poitiers;28194
University of Limoges;18142
;m
University of technology of Belfort-Montbéliard;4124
Institut d’Optique Graduate School;994
;802
;m
University of Évry Val d'Essonne;6059
Institut Mines-Télécom Business School;m
;1006
;283
;514
IFP School;m
University Paris Nanterre;28226
;11926
;328
Leonardo da Vinci Engineering School;395
;m
;1194
Paris 13 University;23230
Paris 8 University;20191
;814
;2711
Paris 12 Val de Marne University;37224
;446
;341
;209
;1657
;1900
;1691
;552
;m
;488
;6843
University of Corsica Pascal Paoli;3696
University of the French West Indies;12205
University of La Réunion;17125
University Center of Mayotte;1106
University of Bordeaux;52572
Institut national des sciences appliquées Centre-Val de Loire - site de Bourges;3208
;535
;718
;7698
University of French Guiana;2962
;m
National veterinary school of Toulouse;1371
National veterinary school of Alfort;349
Nantes-Atlantic national college of veterinary medicine, food science and engineering;m
;348
;240
;283
;482
;1254
;m
;223
;48916
;459
Institut supérieur européen de formation par l'action;m
Epitech;2509
E-artsup;239
Côte d'Azur University;31586
University of Paris;64113
CY Cergy Paris University;23227
;44298
University Paris-Saclay;38270
EM Lyon Business School;294
HEC Paris;212
Grenoble EM;372
Audiencia Business School;230
IÉSEG School of Management;1167
Neoma business school;m
Kedge business school;m
ESC Amiens;549
ESTA Belfort;563
BBA INSEEC;m
ESC Pau Business School;9813
ESC Clermont;565
INSEAD;m
Dijon-Burgundy Business School;377
EDHEC Business School;314
SKEMA Business School;m
Ecole Supérieure de Commerce et Développement – Afrique, Amériques, Asie;741
IDRAC Business School;1135
Montpellier Business School;3592
ICN Business School ARTEM;3534
ESSCA School of Management;667
European Business School Paris;205
ESCP Europe Business School;m
ICD International Business School;m
INSEEC Business School;22919
IPAG Business School;612
ISC Paris Business School;m
ISG Paris;559
ISTEC Paris;568
;256
PSB Paris School of Business;584
;400
Y Schools;m
;332
;252
EM Normandie Business School;m
EGC Occitanie;716
EDC Paris Business School;237
EMLV Business School;242
ESSEC Business School;603
Institut polytechnique de Paris;m
Eurecom;664
Institut National des Sciences Appliquées Hauts-de-France;3707
;5301
PSL Research University;576
ESGCI Paris;779
ESG Montpelllier;1097
ESG Tours;844
ESG Finance;711
ESG RH;683
;316
;3264
;231
;380
;827
;m
;17038
;m
;867
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Laon;256
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Saint-Quentin;331
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Montluçon;242
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Vichy;361
Institut de formation en masso-kinésithérapie - Vichy;m
Croix-Rouge Compétence Auvergne Rhone Alpes - Ecole de santé - site de Moulins;787
Institut supérieur de rééducation psychomotrice - Vichy;m
Croix-Rouge Compétence Provence-Alpes-Côte d'Azur et Corse (IFSI-IFAS) - Site de Nice;1587
Institut de formation en soins infirmiers Hôpital de Cannes;204
Institut de formation en masso-kinésithérapie - Nice;m
Ecole Pigier  Nice;1302
Itecom Art Design;430
Ecole pour l'informatique et les nouvelles technologies - Nice;510
Institut de formation aux métiers de la santé;201
Institut de formation en soins infirmiers - Troyes;m
Institut de formation en masso-kinésithérapie - Marseille;482
IFSI Saint Jacques;420
Institut de formation en soins infirmiers de l'hôpital Nord - Assistance publique des hôpitaux de Marseille;4739
Institut de formation en soins infirmiers de la Blancarde;585
Croix Rouge Compétence PACA et Corse - Site de Marseille;4299
Institut de formation en soins infirmiers Sainte-Marguerite- Assistance publique des hôpitaux de Marseille;458
Institut de formation en soins infirmiers La Capelette - Assistance publique des hôpitaux de Marseille;508
Institut de Formation des manipulateurs d'électroradiologie médicale Laurent Chevrot - Institut Régional de Formations Spécialisées en Santé – AP-HM;m
Ecole de Condé Marseille;928
ECV Ecole de Création Visuelle;314
Ecole MOPA;m
Institut supérieur de rééducation psychomotrice - Marseille;290
Ecole supérieure de design, d'arts appliqués et de communication;m
Ecole pour l'informatique et les nouvelles technologies - Marseille;210
ESG Aix;243
Institut de formation des personnels de santé;2320
E2SE business school;349
AFTEC MBWAY - Caen;718
AFTEC IPAC Bachelor Factory - Caen;553
European school of animal osteopathy;1365
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Aurillac;906
Croix-Rouge compétence Nouvelle-Aquitaine - site d'Angoulême;251
Croix-Rouge Compétence Centre-Val de Loire - Institut de formation en soins infirmiers;275
Institut de formation aux professions de santé;499
École de Savignac;1934
Institut de formation des métiers de santé du Nord-Franche-Comté;690
Institut de formation de professions de santé de Besançon;m
Croix-Rouge Compétence Auvergne-Rhône-Alpes - site de Valence;696
Institut des formations paramédicales de l'Eure;m
Ecole supérieure de la Chambre de commerce et d'industrie Portes de Normandie;m
Institut de formation en masso-kinésithérapie - La Musse;m
Institut de formation des professions paramédicales René Tostivint;322
IF Santé Chartres;332
Croix-Rouge Compétence - site de Brest;m
Institut de formation des professionnels de santé - Morlaix;5037
CENTRES FORM METIERS SANTE - Quimper;268
EMBA Business School;1177
Ecole européenne supérieure d'art de Bretagne - site de Brest;11144
Croix-Rouge Compétence Occitanie - site de Nîmes;343
Vatel - campus de Nîmes;971
CREAJEUX;3117
Ecole d'économie et de sciences sociales quantitatives;1983
Ecole technique privée de photographie et de jeu vidéo;783
Croix-Rouge Compétence Occitanie - site de Toulouse;1964
ISEGCOM - Toulouse;m
Lycée général et technologique privé Saliège;m
Institut Toulousain d'Ostéopathie;283
Ecole pour l'informatique et les nouvelles technologies - Toulouse;742
ESG Toulouse;334
Institut de formation en pédicurie podologie;888
Université Toulouse Capitole;16402
MBWAY Toulouse;m
Institut de Formation aux Métiers de la Santé du Gers;m
Croix-Rouge compétence Nouvelle-Aquitaine - site de Bègles;344
Institut de formation Nightingale Bagatelle -  maison de santé protestante de Bordeaux-Bagatelle;512
INSEEC Grande École - Bordeaux;2158
ISEGCOM - Bordeaux;703
ECV Creative schools & Community;479
Vatel - campus de Bordeaux Les Chartrons;390
Institut de formation en soins infirmiers - CHS Charles Perrens;2819
L'institut supérieur des arts appliqués - LISAA Bordeaux;1778
Ecole pour l'informatique et les nouvelles technologies - Bruges;722
Institut international de l'image et du son - 3IS Education Bordeaux;m
ESG Bordeaux;526
Bordeaux Ynov Campus;m
Institut de formation en masso-kinésithérapie - Montpellier;9804
Institut de formation en ergothérapie - Montpellier;264
MBway Montpellier;m
Institut supérieur de communication et publicité;m
ARTFX - campus de Montpellier;3043
Ecole pour l'informatique et les nouvelles technologies - Montpellier;232
Purple campus;m
Ecole supérieure de design, d'arts appliqués et de communication - Montpellier;336
IPAC Bachelor Factory;m
University of Montpellier (EPE);48558
Institut de formation en masso-kinésithérapie - Rennes;2799
Faculté des métiers - CCI Ille-et-Vilaine;m
Ecole supérieure de réalisation audiovisuelle - Rennes;2150
Institut des hautes études comptables et financières;201
L'institut supérieur des arts appliqués - LISAA Rennes;912
ESG Rennes;254
Ecole européenne supérieure d'art de Bretagne - site de Rennes;279
IPAC Bachelor Factory Rennes;206
MBway Rennes;306
University of Rennes (EPE);30364
Institut de formation en soins infirmiers, d'aides-soignants et d'ambulanciers Châteauroux Le Blanc - site de Châteauroux;355
Campus Centre CCI Indre - site de Châteauroux;m
Brassart Tours;2893
Croix Rouge Compétence Centre-Val De Loire;257
Croix-Rouge Compétence Auvergne-Rhône-Alpes - site de Grenoble;1100
Lycée Saint-Michel - Enseignement supérieur;m
Institut de formation en soins infirmiers et Institut de formation d'aides-soignants - Hôpital du Gier;217
Croix-Rouge Compétence Auvergne-Rhône-Alpes - site de Saint-Etienne;693
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Le Puy-en-Velay;1132
Institut régional de formation aux métiers de la rééducation et de la réadaptation des Pays de la Loire;344
École nationale vétérinaire, agroalimentaire et de l'alimentation de Nantes-Atlantique Cursus Vétérinaire;m
Ecole Pivaut;295
L'École de design Nantes Atlantique - site de Nantes;m
ISEGCOM Campus de Nantes;m
Ecoles créatives Nantes;1696
ECV Creative Schools & Community - ECV Atlantique;2468
Institut des hautes études ostéopathiques;410
L'institut supérieur des arts appliqués - LISAA Nantes;219
Institut de formation en soins infirmiers - Rezé;20073
Ecole pour l'informatique et les nouvelles technologies - Nantes;708
MBway Nantes;3762
Nantes université;39335
Institut de formation des professions paramédicales;1311
École universitaire de kinésithérapie Centre-Val de Loire;295
Institut de formation des professionnels de santé du Villeneuvois;1033
Institut de formation en soins infirmiers - Cholet;1742
Ecole européenne de graphisme publicitaire;482
MBway Angers;1087
Ipac Bachelor Factory Angers;358
Institut de formation en soins infirmiers et aides-soignants - Cherbourg-en-Cotentin;1790
Institut de formation en soins infirmiers et aides-soignants - Granville;219
Institut de formation en soins infirmiers - Châlons-en-Champagne;221
Institut de formation en soins infirmiers - Ecole infirmiers;332
Institut de formation d'aides-soignants du centre hospitalier de Laval;m
Ecole Pigier Nancy;953
Institut de formation en ergothérapie de Lorraine et Champagne-Ardenne;m
Institut de formation en soins infirmiers du Centre psychothérapique de Nancy;m
Ecole de Condé Nancy;318
Institut régional de formation des ambulanciers - Nancy;m
Institut de formation des professionnels de santé - Vannes;275
Institut de formation des professionnels de santé - Lorient;843
Institut de formation des professionnels de santé - Pontivy;347
MBway Vannes;212
Croix-Rouge Compétence - site de Metz;m
Institut de formation en soins infirmiers - Sarreguemines;638
Institut de Formation en soins infirmiers CHIC UNISANTE;m
Institut de formation en santé du CHR Metz-Thionville;m
Institut de formation en soins infirmiers René le Droumaguet;306
Ecole supérieure de traducteurs interprètes et de cadres du commerce extérieur - International Business School;553
Faculté de médecine, maïeutique, sciences de la santé - campus Humanicité;484
Ecole supérieure de journalisme de Lille;4831
Institut de formation en masso-kinésithérapie - Lille;828
Institut de formation en masso-kinésithérapie du Nord de la France;308
IFSI IFAS IFAP Association SANTELYS ISEFORM santé;m
Institut de formation en soins infirmiers, aides-soignants, auxiliaires de puériculture - Croix-Rouge Compétence Hauts-de-France - Tourcoing;m
Institut de formation en soins infirmiers de l'Etablissement public de santé Cambrai;m
Institut de formation en soins infirmiers, aides-soignants - Croix-Rouge Compétence Hauts-de-France - Déchy;m
Institut de formation en soins infirmiers Flandre intérieure;500
Institut de formation en soins infirmiers Ambroise Paré;1069
Institut de formation en soins infirmiers de l'Etablissement public de santé Dunkerque;m
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Roubaix;234
Institut formation en soins infirmiers - Lille;622
Institut de formation en soins infirmiers Georges Daumezon;222
Institut de formation de psychomotriciens Raymond Leclercq;234
Institut Supérieur de Design de Valenciennes;m
Ecole supérieure privée d'application des sciences;233
Institut des stratégies et techniques de communication;m
L'école des nouveaux métiers de la communication - Lille;478
Institut supérieur de communication et de publicité - Lille;625
Ecole pour l'informatique et les nouvelles technologies - Lille;691
MBway Lille;12723
Win Sport School;m
Université de Lille (EPE);71973
Croix-Rouge Compétence Normandie - Formations sanitaires;280
IFRES-Institut formation regional en sante;484
Institut de formation en soins infirmiers, aides-soignants, auxiliaires de puériculture - Croix-Rouge Compétence Hauts-de-France - Arras;836
Institut de formation en soins infirmiers, aides-soignants, auxiliaires de puériculture - Croix-Rouge Compétence Hauts-de-France - Béthune;1258
Institut de formation en soins infirmiers, aides-soignants, auxiliaires de puériculture, ambulanciers - Croix-Rouge Compétence Hauts-de-France;2735
Institut de formation en soins infirmiers - Boulogne-sur-Mer;351
Institut de formation en soins infirmiers, aides-soignants - Croix-Rouge Compétence Hauts-de-France - Lens;496
Institut de formation en masso-kinésithérapie - Berck;408
Institut de formation en soins infirmiers - Berck;2336
Institut de formation en soins infirmiers Val de Lys Artois;1543
Kedge Business School Bayonne;m
École supérieure d'art et de design des Pyrénées;310
Institut de formation en soins infirmiers - Haguenau;m
Institut de formation en masso-kinésithérapie - Strasbourg;557
MJM Graphic Design - Strasbourg;5003
Institut formation en soins infirmiers - Strasbourg;m
Institut de formation en soins infirmiers Saint-Vincent;309
L'Institut supérieur des arts appliqués - LISAA Strasbourg;338
Institut de formation en soins infirmiers du Pays d'Erstein;m
Ecole pour l'informatique et les nouvelles technologies;214
Collège ostéopathique Strasbourg Europe;264
Institut de formation en soins infirmiers - Hôpitaux civils de Colmar;6884
Institut de formation en soins infirmiers - Mulhouse;456
Ecole Rockefeller;1882
Ocellia - site de Lyon;910
Hospices civils de Lyon - Instituts de formation site Clémenceau;m
Croix-Rouge Compétence Auvergne-Rhône-Alpes - site de Lyon;554
Institut supérieur Architecture intérieure - campus de Lyon;335
Institut de formation en soins infirmiers - hôpital Le Vinatier;236
Ecole Emile Cohl;1542
ESAIL, école de design intérieur et d'architecture intérieure;1658
Vatel - campus de Lyon;m
Bellecour Ecole;484
Institut de gestion sociale - Ecole des ressources humaines;m
L'école des nouveaux métiers de la communication - Lyon;3537
Ecole de Condé Lyon;664
ISOstéo Lyon;200
European School of Administration and Management;220
Ecole Pigier Lyon;202
Ecole supérieure d'économie d'art et de communication;m
Centre européen d'enseignement supérieur de l'ostéopathie;624
Brassart Lyon;274
Ecole pour l'informatique et les nouvelles technologies - Lyon;271
Ecole de cinéma et audiovisuel;233
MADE IN Sainte-Marie Lyon;m
Lyon Ynov Campus;8927
INSEEC Grande École - Lyon;485
Ecole supérieure de publicité;563
Institut supérieur de communication et de publicité - Lyon;247
MBway Lyon;440
Hybria - Institute of business & technologies;337
Strate Ecole de design - Campus Lyon;345
Sup de Pub;603
Croix-Rouge Compétence - site Vesoul;m
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Mâcon;m
Ecole supérieure des beaux-arts du Mans;589
ECOLE PLURIPROFESSIONNELLE CROIX ROUGE FRANCAISE;m
Institut de formation en soins infirmiers - Centre Hospitalier Métropole Savoie;m
INSEEC;605
Institut de formation en soins infirmiers et d'aides-soignants - Hôpitaux du Léman;219
Ecole Pigier Paris;210
Ecole normale de musique Alfred Cortot;5190
L'école des nouveaux métiers de la communication - Paris;214
Conservatoire libre du cinéma français;277
Institut supérieur de rééducation psychomotrice;1818
Vatel -  campus de Paris;m
Institut de formation en soins infirmiers - hôpital Pitié-Salpêtrière (AP);640
Institut de formation en soins infirmiers Bichat Claude Bernard (AP);m
IFSI - IFAS Tenon (AP-HP);2066
Institut de formation en soins infirmiers les Diaconesses;m
Institut de formation en masso-kinésithérapie (AP);652
Institut national de podologie;232
IPESUP;2589
Ecole supérieure de réalisation audiovisuelle - Paris;320
ECOLE COMMERCE EUROPEENNE LYON;245
Fondation EFOM Boris DOLTO;232
Ecole des Hautes Etudes Internationales et Politiques;2849
Institut de formation en masso-kinésithérapie Saint-Michel - Paris;892
Ecole Camondo Paris;209
ESMOD international;414
Institute formation soins infirmiere Suzanne Perouse;918
Narratiiv;m
Sup de Pub Paris - Omnes Education;m
The American Business School of Paris - groupe IGS;321
INSEEC Bachelor;m
;339
;92
;3100
;2927
Gustave Eiffel University;11175
;1963
American University of Paris;250
Georgia Tech Lorraine;313
;m
;510
;m
;371
Toulouse Business School;m
;198
;146
;346
ENS Mines-Telecom Nord Europe;223
;m
EPE-Université Clermont Auvergne;32099
;344
;382
Paris Higher Institute of Biotechnology;m
;1068
Institut d'études supérieures des arts;274
CREAPOLE;1112
Atelier Chardon Savard;658
L'Institut supérieur des arts appliqués - LISAA;479
ECV Creative Schools & Community Paris;m
MJM Graphic Design - Paris;445
Atelier Prép'art Paris;201
EFET CRÉA - campus Paris;343
ICART - L'école de management de la culture et du marché de l'art;834
Ecole supérieure technique en Art et Communication;454
Cours Florent;643
Institut régional du travail social Parmentier - site de Paris;m
Ecole supérieure de génie informatique - Réseau GES;230
Ecole bleue;283
Institut de formation en soins infirmiers - Hôpital Saint Louis;3276
Ecole de kinésithérapie de Paris;m
Centre de formation des assistants de régulation médicale - CHU de Poitiers;m
Institut de Formation des Cadres de Santé - Paris;1928
GOBELINS Paris;732
Institut technique de maquillage;m
Ecole de Condé Paris;3294
Ecole Intuit-lab;313
AMOS Sport Business School;m
ISART DIGITAL;m
MEDICIS BUSINESS SCHOOL;388
Parsons Paris;m
PPA Business School;m
Ecole d'Assas en masso-kinésithérapie, en pédicurie-podologie et en ergothérapie;238
International Fashion Academy (IFA Paris);559
New 3 D General Education;410
INTERNATIONAL SUCCESS INSTITUT;205
Web School Factory - Grande École de Management du Numérique;288
Centre de formation des agents de régulation médicale - CHU de Rennes;293
Institut européen de journalisme (Mediaschoolgroup);552
Sup de Vente - Paris;636
Ecole d'ostéopathie de Paris;228
Ecole supérieure des ressources humaines;m
CIFACOM;428
Université Paris-Panthéon-Assas;15790
Croix-Rouge Compétence Normandie;7671
Institut des formations paramédicales Mary Thieullent;m
Institut de formation en soins infirmiers du CH du Rouvray;m
My digital school Melun;m
Institut de formation en soins infirmiers du GHEF – Site de Meaux;201
Ecole supérieure d'ostéopathie;364
Croix-Rouge Compétence - site de Mantes-la-Jolie;m
3IS INSTITUT INTERNATIONAL;271
Lycée Sainte-Geneviève;914
Institut de formation en soins infirmiers - Institut MGEN de la Verrière;m
ECOLE SUPERIEURE DE LA PRODUCT DE LA MODE ET DU LUXE;944
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Abbeville;356
Institut de formation aux métiers de la santé - Etablissement public de santé mentale de la Somme;399
Ifsi Hôpital Sud;1070
Institut de formation aux métiers de la santé d'Albi;901
Institut de formation aux métiers de la santé du CHIC Castres-Mazamet;778
Croix-Rouge Compétence Provence-Alpes-Côte d'Azur et Corse (IFSI - IFAS) - Site d'Ollioules;204
Institut de formation public varois des professions de santé - Saint-Raphaël;750
Institut de formation public varois des professions de santé - La Garde;576
Etablissement régional de formation des professions paramédicales - IFSI du GIPES d'Avignon et pays de Vaucluse;1094
École européenne supérieure de l'image Angoulême Poitiers;359
Croix-Rouge compétence Nouvelle-Aquitaine - site de Limoges;208
Institut de formation en soins infirmiers - Épinal;m
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants - Auxerre;293
Institut de formation en soins infirmiers Barthélemy Durand sur Orge, site Sainte Geneviève-des-Bois;388
Institut de formation paramédicale (IFPM) - GH Nord Essonne - Site de Longjumeau;265
Institut de formation en soins infirmiers Barthélemy Durand;m
AgroParisTech - Centre de Paris-Saclay;331
Institut de formation en soins infirmiers de l'hôpital Max Fourestier;518
Institut de formation en soins infirmiers - Hôpital Foch;m
Institut de formation en soins infirmiers - hôpital Ambroise Paré (AP);1005
Institut de formation en soins infirmiers Beaujon - René Auffray (AP);752
Institut de formation en soins infirmiers - hôpital Antoine Béclère;1774
Institut de formation en soins infirmiers - Hôpital Raymond Poincaré;796
Institut de formation en soins infirmiers - hôpital Louis Mourier;3020
Strate Ecole de design;m
Ecole privée des sciences informatiques - campus Paris;470
Institut de l'internet et du multimédia;m
Sports management school;561
IPAC Bachelor Factory - Paris Ouest;m
MBway Paris Ouest;301
Paris Ynov Campus;m
École supérieure du commerce extérieur;339
Centre international d'etudes sur le commerce exterieur;280
Institut de formation en soins infirmiers de l'hôpital Delafontaine;1787
Institut de formation en soins infirmiers Robert Ballanger;244
Centre européen d'enseignement en rééducation et réadaptation fonctionnelle;1840
Institut de formation en soins infirmiers de l'EPS de Ville-Evrard;899
École Internationale de Création Audiovisuelle et de Réalisation;m
HETIC la grande école de l'internet;480
Institut de formation paramédicale et sociale de la Croix Saint-Simon;m
Ecole Danhier;m
Institut de formation en soins infirmiers-hôpital Emile Roux (AP);924
Institut de formation en soins infirmiers - Bicêtre (AP);375
Institut de formation en soins infirmiers Henri-Mondor;1564
LÉA-CFI - Campus Orly;m
Institut de formation en soins infirmiers Jean-Baptiste Pussin;436
Institut de formation en soins infirmiers - Centre hospitalier Les Muret;593
Ecole Informatique en Alternance ETNA;7832
Institut des formations paramédicales Albert Schweitzer;m
Institut de formation en soins infirmiers Françoise Dolto de l'hôpital Simone Veil;218
Fondation Léonie Chaptal;m
ESIEE-IT - CCI Paris Ile de France Education - campus de Pontoise;m
Institut de formation en soins infirmiers - Pointe-à-Pitre;4243
Institut de formation en soins infirmiers - Fort-de-France;5036
Institut de formation en soins infirmiers - Cayenne;862
Institut de formation en soins infirmiers - Saint-Pierre;495
ISIT - Institut de management et de communication interculturels;m
Institut de formation en soins infirmiers, aides-soignants et auxiliaires de puériculture du Centre hospitalier de Soissons;328
Institut de formation en soins infirmiers- Centre hospitalier Sainte-Marie;288
Institut de formation en soins infirmiers et d'aides-soignants - Centre hospitalier Ardèche nord;331
Institut de formation aux métiers de la santé du Centre hospitalier des Vallées de l'Ariège;305
Institut de formation en soins infirmiers et d'aides-soignants - Centre hospitalier Carcassonne;206
Institut de formation en soins infirmiers et aides-soignants - Centre hospitalier Narbonne;945
Institut de formation aux métiers de la santé du Centre hospitalier;1542
Instituts de formations paramédicales du Centre hospitalier Edmond Garcin d'Aubagne;459
Institut de formation en soins infirmiers et d'aides-soignants - centre hospitalier de La Rochelle;720
Institut de formation aux métiers de la santé - centre hospitalier de Guéret;300
Institut de formation aux métiers de la santé - centre hospitalier de Périgueux;m
Institut de formation en soins infirmiers et d'aides-soignants - Groupement hospitalier Portes de Provence;854
Institut de formation du Nord Gironde - centre hospitalier de Libourne;243
Institut de formation aux  métiers de la santé - Centre hospitalier Béziers;2431
Institut de formation en soins infirmiers et aides-soignants - Centre hospitalier Guillaume Régnier;569
Institut de formation aux professions de santé - Centre hospitalier Pierre Oudot;533
Institut de formation en soins infirmiers et d'aides-soignants - Centre hospitalier Alpes Isère;221
Institut de formation des professionnels de santé - centre hospitalier Dax-Côte d'Argent;292
Centre de formation des personnels de santé - centre hospitalier de Mont-de-Marsan;1797
Institut de formation en soins infirmiers, aides-soignants et ambulanciers Centre hospitalier Simone Veil;m
Institut de formation en soins infirmiers et Institut de formation d'aides-soignants - Centre hospitalier de Roanne;282
Instituts de formations du CHU Bellevue;584
Institut de formation aux métiers de la santé du Lot - Centre hospitalier Jean Rougier;507
Institut de formations des professionnels de santé - centre hospitalier Agen Nérac;225
Institut de formation en soins infirmiers du Centre hospitalier Nord Mayenne;324
Institut de formation en soins infirmiers et aides-soignants - Centre hospitalier Verdun;m
Institut de formation aux métiers de la santé - Centre hospitalier Valenciennes;m
Institut de formation aux métiers de la santé - centre hospitalier de Maubeuge;m
Institut de formation en soins infirmiers, aides-soignants et auxiliaires de puériculture du Centre hospitalier;285
Institut de formation en soins infirmiers - Institut de formation d'aides-soignants du Centre hospitalier de Compiègne;287
Institut hospitalier de formation en santé - Centre hospitalier d'Arras;414
Institut de formation en soins infirmiers du CHU;2084
Institut de formation en soins infirmiers et d'aides-soignants - centre hospitalier de la Côte Basque;297
Institut de formation en soins infirmiers et d'aides-soignants - centre hospitalier de Pau;254
Institut de Formation aux métiers de la santé Henry Dunant du Centre hospitalier de Tarbes-Lourdes;432
Institut Méditerranéen de formation aux métiers de la santé - Centre hospitalier Perpignan;203
Institut de formation en soins infirmiers et Institut de formation d'aides-soignants J. Lepercq - Centre hospitalier St-Joseph St-Luc;427
Institut de formation en soins infirmiers - Centre hospitalier régional;377
Institut de formation en soins infirmiers et d'aides-soignants - Centre hospitalier Alpes Léman;922
Institut de formation en soins infirmiers et d'aides-soignants - Centre hospitalier Annecy Genevois;631
Institut de formation en soins infirmiers du Centre hospitalier de Dieppe;m
Institut de formation en soins infirmiers du Centre hospitalier Marc Jacquet;411
Institut de formation en soins infirmier et institut de formation d'aides-soignants du centre hospitalier du sud Seine-et-Marne;1431
Institut de formation en soins infirmiers du Centre hospitalier intercommunal Poissy Saint-Germain-en-Laye;m
Institut de formation en soins infirmiers du Centre hospitalier intercommunal Meulan-Les Mureaux;m
Institut de formation en soins infirmiers et d'aides-soignants - centre hospitalier Nord Deux-Sèvres - site de Thouars;277
Centre de formations paramédicales - centre hospitalier de Niort;577
Institut de formation aux métiers de la santé du Centre hospitalier de Montauban;14035
Institut de formation en soins infirmiers du Centre Hospitalier départemental de Vendée;675
Institut de formation manipulateurs d'électroradiologie - Centre hospitalier Sud-Francilien;538
Institut de formation en soins infirmiers institut hospitalier franco-britannique;709
Institut de formation en soins infirmiers du Centre hospitalier départemental Stell;808
Institut de formation interhospitalier Théodore Simon;m
Institut de formation en soins infirmiers du Groupe Hospitalier Paul Guiraud;332
Institut de formation en soins infirmiers C. Claudel - Centre hospitalier Victor Dupouy;18549
Institut de formation en soins infirmiers - Centre hospitalier René Dubos;203
