ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,graduation_rate
EE0001,University of Tartu,Tartu Ülikool,2020,EE,Tartu,200411426.87,83951229.24,26643594.53,71100744.74000002,102748108.76,,12315.0,2794.0,105.0,University of Tartu,40.9,28.6,23.7,94.6,19.1,62.1,20.8,89.2,64.2,362,M,FC,VH,Public,0.22687779131140884
EE0002,Tallinn University of Technology,Tallinna Tehnikaülikool,2020,EE,Tallinn,114283414.32,58744433.66,6051558.899999999,36339913.47999999,60864001.51999999,,9338.0,2191.0,64.0,Tallinn University of Technology,27.2,16.2,18.6,33.5,23.5,53.2,26.8,50.5,43.0,635,M,FO,VH,Public,0.23463268365817092
EE0003,Tallinn University,Tallinna Ülikool,2020,EE,Tallinn,41399712.86,25033548.46,4045510.18,10678764.079999994,28909526.940000013,,6826.0,1577.0,24.0,Tallinn University,,11.1,12.4,12.6,9.9,63.9,30.6,45.6,44.3,901-950,M,FO,VH,Public,0.23102842074421331
ES0004,University of Granada,Universidad de Granada,2020,ES,Granada,,,,,,,49685.0,11469.0,429.0,University of Granada,37.4,59.3,24.3,11.2,26.3,9.9,31.7,13.1,58.4,401,XL,FC,VH,Public,0.23083425581161315
ES0017,University of Barcelona,Universitat de Barcelona,2020,ES,Barcelona,,,,,,,50318.0,11447.0,750.0,University of Barcelona,61.0,84.9,48.9,19.0,47.8,39.9,40.8,77.0,84.7,160,XL,FC,VH,Public,0.22749314360666162
ES0022,Rovira i Virgili University,Universitat Rovira i Virgili,2020,ES,Tarragona,,,,,,,14516.0,2936.0,159.0,Rovira i Virgili University,,9.5,4.5,19.9,48.0,9.8,28.4,1.8,65.0,771-780,L,FC,VH,Public,0.20225957564067237
ES0031,University of Salamanca,Universidad de Salamanca,2020,ES,Salamanca,,,,,,,22805.0,5597.0,253.0,University of Salamanca,30.9,36.9,23.5,36.8,11.8,10.2,25.9,33.4,70.8,526,L,FC,VH,Public,0.24542863407147555
ES0043,University of Murcia,Universidad de Murcia,2020,ES,Murcia,,,,,,,30137.0,6204.0,307.0,University of Murcia,,15.3,5.4,24.9,14.9,,7.0,4.9,64.4,1001-1200,L,FC,VH,Public,0.20585990642731525
ES0048,IE University,IE Universidad,2020,ES,Segovia,,,,,,,6521.0,2531.0,12.0,IE University,35.1,12.7,70.4,47.6,3.8,94.0,100.0,70.4,53.0,438,M,FO,HI,Private for Profit,0.38813065480754483
ES0057,University of Deusto,Universidad de Deusto,2020,ES,Bilbao,,,,,,,9508.0,2394.0,56.0,University of Deusto,,8.9,29.8,7.4,14.3,8.8,29.9,52.2,31.6,1001-1200,M,FO,VH,,0.2517879680269247
ES0058,University of Navarra,Universidad de Navarra,2020,ES,Pamplona,,,,,,,11567.0,3132.0,166.0,University of Navarra,49.3,40.8,78.2,50.6,25.3,26.8,84.0,80.5,66.1,262,L,FC,HI,Private not for Profit,0.2707702948041843
FI0001,University of Helsinki,Helsingin yliopisto,2020,FI,Helsinki,670664125.0,399717000.0,,208480602.0,,371948000.0,26901.0,8296.0,638.0,University of Helsinki,66.1,74.5,37.7,66.9,62.7,78.5,13.1,94.2,95.6,116,L,CO,VH,Public,0.30839002267573695
FI0002,University of Turku,Turun yliopisto,2020,FI,Turku,266840006.0,168308000.0,,78341062.0,,137051000.0,14491.0,3652.0,191.0,University of Turku,40.6,36.3,20.2,63.2,39.6,46.2,8.9,46.1,74.4,366,L,FC,VH,Public,0.25201849423780276
FI0004,University of Oulu,Oulun yliopisto,2020,FI,Oulu,250036945.0,150425000.0,,78676405.0,,135922200.0,11659.0,2691.0,146.0,University of Oulu,42.0,23.0,21.8,29.5,74.5,80.9,19.7,30.6,75.2,342,M,FC,VH,Public,0.23080881722274638
