name,city,student_fees,charges_fees,highest_degree,staff_fte,web_pages,total_students,per_student_fees,latitude,longitude
"""Bulgarian Air Force Academy """"Georgi Benkovski"""" - Dolna Mitropolia""",Dolna Mitropolia,,0,3.0,,,,0.0,43.4672884,24.526065
University of Cyprus,Nicosia,20256228.0,0,3.0,1231.0,['http://www.ucy.ac.cy/'],7057.0,0.0,35.1746503,33.3638783
Open University of Cyprus,Latsia,3645569.0,0,3.0,89.0,['http://www.ouc.ac.cy/'],3020.0,0.0,35.0995648,33.3815988
Cyprus University of Technology,Limassol,8545604.0,0,3.0,569.0,['http://www.cut.ac.cy/'],2713.0,0.0,34.6852901,33.0332657
University of Nicosia,Nicosia,,0,3.0,628.0,['http://www.unic.ac.cy/'],13102.0,0.0,35.1746503,33.3638783
Frederick University,Nicosia,,0,3.0,307.0,['http://www.frederick.ac.cy/'],5576.0,0.0,35.1746503,33.3638783
European University - Cyprus,Nicosia,,0,3.0,557.0,,9407.0,0.0,35.1746503,33.3638783
Neapolis University,Paphos,,0,3.0,140.0,,3347.0,0.0,34.7743988,32.4231586
The Cyprus Institute,Nicosia,,0,3.0,55.0,,15.0,0.0,35.1746503,33.3638783
Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics,Nicosia,,0,3.0,41.0,,46.0,0.0,35.1746503,33.3638783
University of Central Lancashire - Cyprus,Larnaca,,0,3.0,147.0,,1487.0,0.0,34.9236095,33.6236184
Academy of Performing Arts in Prague,Prague,,1,3.0,489.543,,1411.0,,50.0874654,14.4212535
Academy of Fine Arts in Prague,Prague,,1,3.0,141.577,,318.0,,50.0874654,14.4212535
Czech University of Life Sciences,,,0,,,,,0.0,,
Czech Technical University in Prague,Prague,,1,3.0,4177.79,,15806.0,,50.0874654,14.4212535
JanÃ¡Äek Academy of Music and Performing Arts in Brno,Brno,,1,3.0,330.802,,,,49.1922443,16.6113382
University of South Bohemia in ÄŒeskÃ© BudÄ›jovice,ÄŒeskÃ© BudÄ›jovice,,1,3.0,1532.044,,,,,
Masaryk University,Brno,,1,3.0,5067.704,['https://www.muni.cz/'],30751.0,,49.1922443,16.6113382
Mendel University in Brno,Brno,,1,3.0,1648.746,,8692.0,,49.1922443,16.6113382
University of Ostrava,Ostrava,,1,3.0,1104.667,['http://www.osu.cz/'],8822.0,,49.8349139,18.2820084
Silesian University in Opava,Opava,,1,3.0,626.1809999999999,,5256.0,,49.9389004,17.9024174
Technical University of Liberec,Liberec,,1,3.0,1084.589,['http://www.vslib.cz/'],6025.0,,50.7702648,15.0583947
University of Hradec KrÃ¡lovÃ©,Hradec KrÃ¡lovÃ©,,1,3.0,689.142,,,,,
University of J. E. PurkynÄ› in ÃšstÃ­ nad Labem,ÃšstÃ­ nad Labem,,1,3.0,913.083,,,,,
Charles University,Prague,,1,3.0,9348.805,,45556.0,,50.0874654,14.4212535
PalackÃ½ University,,,0,,,,,0.0,,
University of Pardubice,Pardubice,,1,3.0,1165.554,['http://www.upce.cz/'],6553.0,,50.0385812,15.7791356
Tomas Bata University in ZlÃ­n,ZlÃ­n,,1,3.0,1000.22,,,,46.7290722,13.58022
University of Veterinary and Pharmaceutical Sciences,,,0,,,,,0.0,,
VÅ B â€“ Technical University of Ostrava,Ostrava,,1,3.0,2096.791,,,,49.8349139,18.2820084
University of Economics,,,0,,,,,0.0,,
University of Chemistry and Technology,,,0,,,,,0.0,,
Academy of Arts,,,0,,,,,0.0,,
Brno University of Technology,Brno,,1,3.0,3080.57,"['https://www.vutbr.cz/', 'https://www.vut.cz/']",15788.0,,49.1922443,16.6113382
University of West Bohemia in Pilsen,PlzeÅˆ,,1,3.0,1964.713,,10758.0,,,
Police Academy of the Czech Republic in Prague,Prague,0.0,0,3.0,,,2267.0,0.0,50.0874654,14.4212535
University of Defence,Brno,0.0,0,3.0,,,1785.0,0.0,49.1922443,16.6113382
University of Freiburg,Freiburg im Breisgau,3805051.0,0,3.0,4080.0,,21929.0,0.0,47.9960901,7.8494005
Heidelberg University,Heidelberg,4980816.0,0,3.0,4417.0,,25569.0,0.0,49.4093582,8.694724
University of Hohenheim,Stuttgart,2523644.0,0,3.0,1737.0,,7934.0,0.0,48.7784485,9.1800132
Karlsruhe Institute of Technology,Karlsruhe,3988020.0,0,3.0,4854.0,,21269.0,0.0,49.0068705,8.4034195
University of Konstanz,Konstanz,2540529.0,0,3.0,2157.0,,9668.0,0.0,47.659216,9.1750718
University of Mannheim,Mannheim,3066713.0,0,3.0,1445.0,,10900.0,0.0,49.4892913,8.4673098
University of Stuttgart,Stuttgart,9951796.0,0,3.0,5366.0,,19272.0,0.0,48.7784485,9.1800132
TÃ¼bingen University,TÃ¼bingen,9960685.0,0,3.0,4100.0,,,0.0,48.2414112,8.7239539
Ulm University,Ulm,2984095.0,0,3.0,1599.0,,8290.0,0.0,48.3984968,9.9912458
Zeppelin University Friedrichshafen (Priv. H),Friedrichshafen,4840521.0,0,3.0,198.0,,607.0,0.0,47.6500279,9.4800858
Hochschule fÃ¼r jÃ¼dische Studien Heidelberg,Heidelberg,1070.0,0,3.0,38.0,,,0.0,49.4093582,8.694724
University of Augsburg,Augsburg,263996.0,0,3.0,2041.0,,18612.0,0.0,48.3690341,10.8979522
University of Bamberg,Bamberg,801873.0,0,3.0,1213.0,,10600.0,0.0,49.8916044,10.8868478
University of Bayreuth,Bayreuth,337173.0,0,3.0,2274.0,,11531.0,0.0,49.9446345,11.5743543
Catholic University of EichstÃ¤tt-Ingolstadt,EichstÃ¤tt,338441.0,0,3.0,723.0,,,0.0,,
University of Erlangen-NÃ¼rnberg,Erlangen,58401.0,0,3.0,5400.0,,,0.0,49.5891571,10.9812072
Ludwig Maximilian University of Munich,Munich,472208.0,0,3.0,6529.0,,48560.0,0.0,48.1371079,11.5753822
Technical University of Munich,Munich,6628107.0,0,3.0,8786.0,,50969.0,0.0,48.1371079,11.5753822
Bundeswehr University Munich,Neubiberg,3034683.0,0,3.0,1688.0,,3456.0,0.0,48.0769935,11.6615136
University of Passau,Passau,21347.0,0,3.0,1116.0,,10632.0,0.0,48.5748229,13.4609744
University of Regensburg,Regensburg,0.0,0,3.0,2877.0,,19779.0,0.0,49.0195333,12.0974869
University of WÃ¼rzburg,WÃ¼rzburg,1132628.0,0,3.0,3923.0,,,0.0,,
Free University of Berlin,Berlin,5569160.0,0,3.0,4994.0,,34527.0,0.0,52.5173885,13.3951309
Technical University of Berlin,Berlin,8932134.0,0,3.0,4887.0,,32840.0,0.0,52.5173885,13.3951309
CharitÃ© - UniversitÃ¤tsmedizin Berlin,Berlin,,0,3.0,,,,0.0,52.5173885,13.3951309
Humboldt University of Berlin,Berlin,3849191.0,0,3.0,4123.0,,33119.0,0.0,52.5173885,13.3951309
ESCP-EAP European School of Management,Berlin,6801443.0,0,3.0,122.0,,1229.0,0.0,52.5173885,13.3951309
Hertie School of Governance,Berlin,7322905.0,0,3.0,232.0,['http://www.hertie-school.org/'],652.0,0.0,52.5173885,13.3951309
Steinbeis University,Magdeburg,20322719.0,0,3.0,238.0,,4826.0,0.0,52.1314783,11.6400789
Viadrina European University,Frankfurt (Oder),1045437.0,0,3.0,516.0,,3999.0,0.0,52.3412273,14.549452
University of Potsdam,Potsdam,2222720.0,0,3.0,2694.0,,18961.0,0.0,52.4009309,13.0591397
University of Bremen,Bremen,2869911.0,0,3.0,3004.0,,17128.0,0.0,53.0758196,8.8071646
Constructor University Bremen gGmbH (Priv. U),Bremen,30568016.0,0,3.0,396.0,,1463.0,0.0,53.0758196,8.8071646
University of Hamburg,Hamburg,6279222.0,0,3.0,5364.0,,36929.0,0.0,53.5501721,10.0013165
Hamburg University of Technology,Hamburg,824091.0,0,3.0,1615.0,,7370.0,0.0,53.5501721,10.0013165
HafenCity University Hamburg,Hamburg,268193.0,0,3.0,318.0,,2430.0,0.0,53.5501721,10.0013165
Helmut Schmidt University of the Federal Armed Forces Hamburg,Hamburg,417786.0,0,3.0,1140.0,,2545.0,0.0,53.5501721,10.0013165
Bucerius Law School,Hamburg,6718661.0,0,3.0,139.0,,541.0,0.0,53.5501721,10.0013165
Technical University of Darmstadt,Darmstadt,2811385.0,0,3.0,4498.0,,23353.0,0.0,49.872775,8.651177
Frankfurt University,Frankfurt am Main,5640624.0,0,3.0,4155.0,,39940.0,0.0,50.1106444,8.6820917
Justus Liebig University Giessen,GieÃŸen,3167041.0,0,3.0,3909.0,,24710.0,0.0,,
University of Kassel,Kassel,2469693.0,0,3.0,2784.0,,21660.0,0.0,51.3157833,9.4978479
Philipps University of Marburg,Marburg,5179763.0,0,3.0,3224.0,,20705.0,0.0,50.8090106,8.7704695
Frankfurt School of Finance & Management-HfB (Priv. H),Frankfurt am Main,56731563.0,0,3.0,257.0,,4328.0,0.0,50.1106444,8.6820917
EBS University of Business and Law,Oestrich-Winkel,18988418.0,0,3.0,207.0,,1607.0,0.0,50.0071863,8.0167585
University of Greifswald,Greifswald,560100.0,0,3.0,1204.0,,9235.0,0.0,54.095791,13.3815238
University of Rostock,Rostock,299686.0,0,3.0,1850.0,,11535.0,0.0,54.0886707,12.1400211
Brunswick University of Technology,Braunschweig,749527.0,0,3.0,3334.0,,14858.0,0.0,52.2646577,10.5236066
Clausthal University of Technology,Clausthal,140390.0,0,3.0,1010.0,,2370.0,0.0,51.8039171,10.3334222
Georg August GÃ¶ttingen University,GÃ¶ttingen,4339665.0,0,3.0,4107.0,,,0.0,,
University of Hannover,Hannover,1971049.0,0,3.0,4191.0,,25270.0,0.0,52.3744779,9.7385532
Hannover Medical School,Hannover,,0,3.0,2196.0,,3329.0,0.0,52.3744779,9.7385532
University of Veterinary Medicine Hannover,Hannover,349344.0,0,3.0,1085.0,,1717.0,0.0,52.3744779,9.7385532
University of Hildesheim,Hildesheim,1568815.0,0,3.0,839.0,,7758.0,0.0,52.1527188,9.9518083
Leuphana University of LÃ¼neburg,LÃ¼neburg,1542497.0,0,3.0,1049.0,,,0.0,33.6851141,-93.3468373
Carl von Ossietzky the University of Oldenburg,Oldenburg,752421.0,0,3.0,2413.0,,14271.0,0.0,53.1389753,8.2146017
OsnabrÃ¼ck University,OsnabrÃ¼ck,477963.0,0,3.0,1541.0,,,0.0,,
University of Vechta,Vechta,137410.0,0,3.0,456.0,,3495.0,0.0,52.7310691,8.2873162
Aachen University,Aachen,1955171.0,0,3.0,8404.0,,42177.0,0.0,50.776351,6.083862
Bielefeld University,Bielefeld,1101094.0,0,3.0,3379.0,,22147.0,0.0,52.0191005,8.531007
Ruhr-University Bochum,Bochum,424709.0,0,3.0,5362.0,,35164.0,0.0,51.4818111,7.2196635
University of Bonn,Bonn,0.0,0,3.0,4581.0,,31134.0,0.0,50.7352621,7.1024635
TU Dortmund University,Dortmund,123353.0,0,3.0,3816.0,,28193.0,0.0,51.5142273,7.4652789
Heinrich Heine University DÃ¼sseldorf,DÃ¼sseldorf,0.0,0,3.0,2378.0,,,0.0,,
University of Duisburg-Essen,Essen,844613.0,0,3.0,4053.0,,35650.0,0.0,51.4582235,7.0158171
University of Hagen,Hagen,16874556.0,0,3.0,1321.0,,62836.0,0.0,51.3582945,7.473296
University of Cologne,Cologne,747348.0,0,3.0,4894.0,,44318.0,0.0,50.938361,6.959974
German Sport University Cologne,Cologne,221159.0,0,3.0,584.0,,5746.0,0.0,50.938361,6.959974
University of MÃ¼nster,MÃ¼nster,2862051.0,0,3.0,4825.0,,,0.0,52.3076216,-8.5708973
University of Paderborn,Paderborn,81967.0,0,3.0,2475.0,,16466.0,0.0,51.7177044,8.752653
University of Siegen,Siegen,202107.0,0,3.0,1977.0,,14602.0,0.0,48.9573176,8.0427704
University of Wuppertal,Wuppertal,119172.0,0,3.0,2310.0,,20315.0,0.0,51.264018,7.1780374
University Witten/Herdecke,Witten-Herdecke,6785989.0,0,3.0,659.0,,2370.0,0.0,51.4521882,7.3571148
University of Kaiserslautern,Kaiserslautern,4444992.0,0,3.0,2943.0,,17787.0,0.0,49.4432174,7.7689951
University of Koblenz,Koblenz,3401105.0,0,3.0,649.0,,9359.0,0.0,50.3533278,7.5943951
Johannes Gutenberg University Mainz,Mainz,1242500.0,0,3.0,3887.0,,28228.0,0.0,49.9995205,8.2736253
German University of Administrative Sciences Speyer,Speyer,53790.0,0,3.0,120.0,,279.0,0.0,49.3165553,8.433615
University of Trier,Trier,926741.0,0,3.0,1202.0,,10155.0,0.0,49.7596208,6.6441878
WHU â€“ Otto Beisheim School of Management,Vallendar,24867293.0,0,3.0,372.0,,,0.0,50.4001381,7.6142479
Saarland University,SaarbrÃ¼cken,2995729.0,0,3.0,2274.0,,14676.0,0.0,,
Chemnitz University of Technology,Chemnitz,392629.0,0,3.0,2091.0,,7961.0,0.0,50.8323531,12.918914
Technische UniversitÃ¤t Dresden,Dresden,1579320.0,0,3.0,6286.0,,,0.0,51.0493286,13.7381437
Technische UniversitÃ¤t Bergakademie Freiberg,Freiberg,322340.0,0,3.0,1405.0,,,0.0,50.9169415,13.3428889
Leipzig University,Leipzig,484442.0,0,3.0,3704.0,,28817.0,0.0,51.3406321,12.3747329
HHL Leipzig Graduate School of Management,Leipzig,5676156.0,0,3.0,111.0,,533.0,0.0,51.3406321,12.3747329
Martin Luther University,Halle (Saale),635741.0,0,3.0,2517.0,,18391.0,0.0,51.4824354,11.9712985
Otto von Guericke University of Magdeburg,Magdeburg,199688.0,0,3.0,1719.0,,11932.0,0.0,52.1314783,11.6400789
University of Flensburg,Flensburg,200960.0,0,3.0,587.0,,5764.0,0.0,54.7833021,9.4333264
University of Kiel,Kiel,481343.0,0,3.0,3474.0,,24345.0,0.0,54.3227085,10.135555
University of LÃ¼beck,LÃ¼beck,207445.0,0,3.0,716.0,,,0.0,47.3673862,13.8093802
University of Erfurt,Erfurt,234913.0,0,3.0,747.0,,5565.0,0.0,50.9777974,11.0287364
Ilmenau University of Technology,Ilmenau,541046.0,0,3.0,1301.0,,3944.0,0.0,50.6867695,10.9142385
Friedrich-Schiller-University of Jena,Jena,833820.0,0,3.0,3329.0,,15743.0,0.0,50.9281717,11.5879359
Bauhaus-UniversitÃ¤t Weimar,Weimar,347763.0,0,3.0,876.0,,,0.0,50.9793301,11.3297921
University of Education Freiburg,Freiburg im Breisgau,923250.0,0,3.0,433.0,,4946.0,0.0,47.9960901,7.8494005
University of Education Heidelberg,Heidelberg,726420.0,0,3.0,397.0,,5184.0,0.0,49.4093582,8.694724
University of Education Karlsruhe,Karlsruhe,719207.0,0,3.0,330.0,,3487.0,0.0,49.0068705,8.4034195
University of Education Ludwigsburg,Ludwigsburg,1000844.0,0,3.0,410.0,,5934.0,0.0,48.8953937,9.1895147
University of Education SchwÃ¤bisch GmÃ¼nd,SchwÃ¤bisch GmÃ¼nd,533167.0,0,3.0,268.0,,,0.0,,
University of Education Weingarten,Weingarten,563020.0,0,3.0,269.0,,3263.0,0.0,47.8075299,9.6431145
Munich School of Philosophy,Munich,205978.0,0,3.0,38.0,,374.0,0.0,48.1371079,11.5753822
Augustana-Hochschule Neuendettelsau (ev),Neuendettelsau,4550.0,0,3.0,42.0,,83.0,0.0,49.2851224,10.7886667
Philosophisch-Theologische Hochschule Frankfurt a.M. (rk),Frankfurt am Main,102119.0,0,3.0,41.0,,150.0,0.0,50.1106444,8.6820917
Fulda Faculty of Theology,Fulda,281.0,0,3.0,22.0,,5.0,0.0,50.5514658,9.6762161
Faculty of Theology in Paderborn,Paderborn,0.0,0,3.0,35.0,,34.0,0.0,51.7177044,8.752653
Cologne University of Catholic Theology,Cologne,34793.0,0,3.0,19.0,,64.0,0.0,50.938361,6.959974
Kirchliche Hochschule Wuppertal / Bethel (ev),Wuppertal,0.0,0,3.0,29.0,,149.0,0.0,51.264018,7.1780374
Faculty of Theology Trier,Trier,100.0,0,3.0,26.0,,130.0,0.0,49.7596208,6.6441878
College of Philosophy and Theology,,,0,,,,,0.0,,
University of Music Freiburg,Freiburg im Breisgau,129496.0,0,3.0,166.0,,578.0,0.0,47.9960901,7.8494005
State Academy of Fine Arts Karlsruhe,Karlsruhe,138083.0,0,3.0,61.0,,354.0,0.0,49.0068705,8.4034195
Karlsruhe College of Arts and Design,Karlsruhe,264775.0,0,3.0,56.0,,364.0,0.0,49.0068705,8.4034195
University of Music Karlsruhe,Karlsruhe,485831.0,0,3.0,142.0,,558.0,0.0,49.0068705,8.4034195
Mannheim University of Music and Performing Arts,Mannheim,236805.0,0,3.0,133.0,,574.0,0.0,49.4892913,8.4673098
Stuttgart State Academy of Art and Design,Stuttgart,0.0,0,3.0,162.0,,791.0,0.0,48.7784485,9.1800132
State University of Music and the Performing Arts Stuttgart,Stuttgart,710006.0,0,3.0,232.0,,755.0,0.0,48.7784485,9.1800132
