name,city,student_fees,charges_fees,highest_degree,staff_fte,web_pages,total_students,per_student_fees,latitude,longitude
Rheinland-Westfalen-Lippe Protestant University of Applied Sciences,Bochum,26059.0,0,3.0,175.0,,2551.0,0.0,51.4818111,7.2196635
Dresden University of Applied Sciences,Dresden,82621.0,0,3.0,615.0,,4551.0,0.0,51.0493286,13.7381437
Zittau/GÃ¶rlitz University of Applied Sciences,Zittau,111314.0,0,3.0,449.0,,,0.0,50.9097785,14.8008877
Anhalt University of Applied Sciences,KÃ¶then,4161649.0,0,3.0,689.0,,7047.0,0.0,1.3063976,103.8828411
Harz University of Applied Sciences,Wernigerode,345673.0,0,3.0,268.0,,2825.0,0.0,51.8344172,10.7862526
Magdeburg-Stendal University of Applied Sciences,Magdeburg,731073.0,0,3.0,561.0,,5200.0,0.0,52.1314783,11.6400789
Merseburg University of Applied Sciences,Merseburg,20115.0,0,3.0,343.0,,2960.0,0.0,51.3564413,11.996148
University of Applied Sciences Jena,Jena,321666.0,0,3.0,481.0,,4190.0,0.0,50.9281717,11.5879359
KÃ¼hne Logistics University,Hamburg,3207703.0,0,3.0,177.0,,,0.0,53.5501721,10.0013165
Rhine-Waal University of Applied Sciences,Kleve,97140.0,0,3.0,526.0,,6337.0,0.0,51.7895571,6.1376008
Ruhr West University of Applied Sciences,MÃ¼lheim an der Ruhr,0.0,0,3.0,521.0,,5557.0,0.0,,
Brandenburg University of Technology (BTU) Cottbus â€“ Senftenberg,Cottbus,740545.0,0,3.0,1682.0,,,0.0,51.7567447,14.3357307
Hochschule Geisenheim University (FH),Geisenheim,210243.0,0,3.0,481.0,,1587.0,0.0,50.0392213,7.9414537
Brandenburg Medical School Theodor Fontane,Brandenburg,1751760.0,0,3.0,99.0,,749.0,0.0,52.8455492,13.2461296
University of Copenhagen,Copenhagen,14134664.402958032,1,3.0,10387.88,['http://www.ku.dk/'],35777.0,395.07684833714484,55.6867243,12.5700724
Aarhus University,Aarhus,9261382.383336242,1,3.0,8490.47,['http://www.au.dk/'],31558.0,293.4717784186654,56.1496278,10.2134046
University of Southern Denmark,Odense,13114388.865774604,1,3.0,4068.5,,19085.0,687.1568700956041,55.3997225,10.3852104
Roskilde University,Roskilde,3735119.247339248,1,3.0,940.6,['http://www.ruc.dk/'],6484.0,576.0517037845849,55.6433478,12.0819247
Aalborg University,Aalborg,10722086.32514193,1,3.0,3451.37,['http://www.auc.dk/'],17846.0,600.8117407341662,57.0462626,9.9215263
Technical University of Denmark,Lyngby,12757505.267819997,1,3.0,6085.0,['http://www.dtu.dk/'],13281.0,960.5831840840295,55.7718649,12.5051413
Copenhagen Business School,Frederiksberg,22677378.57171617,1,3.0,1642.15,['http://www.cbs.dk/'],15179.0,1493.9968754012893,55.678016,12.5326186
IT University of Copenhagen,Copenhagen,1016387.2820733066,1,3.0,457.01,['http://www.itu.dk/'],2335.0,435.28363257957454,55.6867243,12.5700724
Aarhus School of Architecture,Aarhus,0.0,0,3.0,,['http://www.a-aarhus.dk/'],573.0,0.0,56.1496278,10.2134046
University of Greenland,Nuussuaq,,0,3.0,,,,0.0,74.1111111,-57.0611111
University of the Faroe Islands,TÃ³rshavn,,0,3.0,,,,0.0,,
The Royal Danish Academy of Music,Frederiksberg,0.0,0,3.0,,,447.0,0.0,55.678016,12.5326186
Rhythmic Music Conservatory,Copenhagen,0.0,0,3.0,,,194.0,0.0,55.6867243,12.5700724
The Royal Academy of Music,Aarhus,0.0,0,3.0,,,373.0,0.0,56.1496278,10.2134046
Danish National Academy of Music,Odense,0.0,0,3.0,,,240.0,0.0,55.3997225,10.3852104
University of Tartu,Tartu,10118413.87,1,3.0,3540.0,['http://www.ut.ee/'],13510.0,748.957355292376,58.3779528,26.7290023
Tallinn University of Technology,Tallinn,5633719.030000001,1,3.0,1720.0,['http://www.ttu.ee/'],8220.0,685.367278588808,59.437242,24.7572693
Tallinn University,Tallinn,5413597.199999999,1,3.0,845.0,['http://www.tlu.ee/'],6545.0,827.1347899159663,59.437242,24.7572693
Estonian University of Life Sciences,Tartu,2316152.05,1,3.0,835.0,['http://www.emu.ee/'],2635.0,878.9950853889942,58.3779528,26.7290023
Estonian Business School,Tallinn,,2,3.0,80.0,['http://www.ebs.ee/'],905.0,,59.437242,24.7572693
Estonian Academy of Arts,Tallinn,1077167.59,1,3.0,230.0,['http://www.artun.ee/'],1105.0,974.812298642534,59.437242,24.7572693
Estonian Academy of Music and Theatre,Tallinn,467332.9,1,3.0,220.0,['http://www.ema.edu.ee/'],515.0,907.4425242718447,59.437242,24.7572693
University of Almeria,AlmerÃ­a,,0,3.0,1621.59333333333,,12954.0,0.0,,
University of CÃ¡diz,CÃ¡diz,,0,3.0,2743.77866666667,,,0.0,-22.4654816,-42.6587437
University of Cordoba,CÃ³rdoba,,0,3.0,2749.836,,16298.0,0.0,,
University of Granada,Granada,,0,3.0,7107.43733333334,,48262.0,0.0,37.1734995,-3.5995337
University of Huelva,Huelva,,0,3.0,1446.28533333333,,9939.0,0.0,37.2575874,-6.9484945
University of JaÃ©n,JaÃ©n,,0,3.0,1814.43333333333,,,0.0,9.0021737,0.1391272
University of MÃ¡laga,MÃ¡laga,,0,3.0,4477.543084577118,,,0.0,56.6806731,-5.8668459
Pablo de Olavide University,Seville,,0,3.0,1338.97333333333,,12019.0,0.0,37.3886303,-5.9953403
University of Seville,Seville,,0,3.0,7965.23466666667,,58138.0,0.0,37.3886303,-5.9953403
University of Zaragoza,Zaragoza,,0,3.0,5282.81597989951,,28870.0,0.0,41.6915847,-0.9101268
University of Oviedo,Oviedo,,0,3.0,3376.55733333333,,18907.0,0.0,43.3533452,-5.8795096
University of the Balearic Islands,Palma,,0,3.0,2039.59866666667,,13223.0,0.0,39.5695818,2.6500745
University of La Laguna,San CristÃ³bal de La Laguna,,0,3.0,2389.424,,19309.0,0.0,,
University of Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,,0,3.0,2110.2,,15277.0,0.0,28.1288694,-15.4349015
University of Cantabria,Santander,,0,3.0,1785.56266666667,,9672.0,0.0,43.4618932,-3.8100255
Autonomous University of Barcelona,Barcelona,,0,3.0,5452.684,,36957.0,0.0,41.3825802,2.177073
University of Barcelona,Barcelona,,0,3.0,7011.89066666666,['https://web.ub.edu/'],48969.0,0.0,41.3825802,2.177073
University of Girona,Girona,,0,3.0,1868.48533333333,['https://udg.edu/'],14555.0,0.0,41.9793006,2.8199439
University of Lleida,Lleida,,0,3.0,1491.81866666667,,10845.0,0.0,41.6147605,0.6267842
Universitat PolitÃ¨cnica de Catalunya Â· BarcelonaTech,Barcelona,,0,3.0,4559.17466666666,,,0.0,41.3825802,2.177073
Pompeu Fabra University,Barcelona,,0,3.0,2371.55733333333,,18728.0,0.0,41.3825802,2.177073
Rovira i Virgili University,Tarragona,,0,3.0,2059.544,,16033.0,0.0,41.1172364,1.2546057
University of Castilla-La Mancha,Ciudad Real,,0,3.0,3814.42666666667,,25753.0,0.0,38.9597347,-3.8828744
University of Alicante,Alicante,,0,3.0,3675.14933333334,,23760.0,0.0,38.3436365,-0.4881708
Jaume I University,CastellÃ³ de la Plana,,0,3.0,1883.55333333333,,12872.0,0.0,,
Miguel HernÃ¡ndez University of Elche,Alicante,,0,3.0,1862.248,,,0.0,38.3436365,-0.4881708
Technical University of Valencia,ValÃ¨ncia,,0,3.0,4655.012,,31824.0,0.0,,
University of Valencia,ValÃ¨ncia,,0,3.0,7070.68266666669,,42674.0,0.0,,
University of Burgos,Burgos,,0,3.0,1136.37866666667,,7906.0,0.0,42.3448498,-3.6812477
University of LeÃ³n,LeÃ³n,,0,3.0,1527.30666666667,,,0.0,,
University of Salamanca,Salamanca,,0,3.0,3703.90666666667,,23244.0,0.0,40.9651572,-5.6640182
University of Valladolid,Valladolid,,0,3.0,3468.41333333333,,20118.0,0.0,41.6200024,-4.7259906
University of Extremadura,Badajoz,,0,3.0,2844.05866666666,,18831.0,0.0,38.878187,-6.9701115
University of A CoruÃ±a,A CoruÃ±a,,0,3.0,2435.599384615386,,,0.0,,
University of Santiago de Compostela,Santiago de Compostela,,0,3.0,4216.44133333333,,22591.0,0.0,42.9064576,-8.5192983
University of Vigo,Vigo,,0,3.0,2915.10666666667,,17975.0,0.0,42.1986395,-8.727956
University of AlcalÃ¡,AlcalÃ¡ de Henares,,0,3.0,2421.21333333333,,,0.0,40.481954,-3.363981
Autonomous University of Madrid,Madrid,,0,3.0,4299.92933333333,,26242.0,0.0,40.416782,-3.703507
Carlos III University of Madrid,Getafe,,0,3.0,2470.42,,20183.0,0.0,40.3070639,-3.7331808
Complutense University of Madrid,Madrid,,0,3.0,10087.216,,57963.0,0.0,40.416782,-3.703507
Technical University of Madrid,Madrid,,0,3.0,5467.432,,33593.0,0.0,40.416782,-3.703507
Rey Juan Carlos University,Madrid,,0,3.0,3486.572,,43335.0,0.0,40.416782,-3.703507
University of Murcia,Murcia,,0,3.0,3631.844,,28648.0,0.0,37.9347521,-1.1131029
Technical University of Cartagena,Cartagena,,0,3.0,1004.27333333333,,5238.0,0.0,37.6155018,-0.987511
Public University of Navarra,Pamplona,,0,3.0,1559.44933333333,,9624.0,0.0,42.815686,-1.6522353
University of the Basque Country,Lejoa,,0,3.0,6262.26000000001,,40004.0,0.0,,
University of La Rioja,LogroÃ±o,,0,3.0,788.94,,4263.0,0.0,,
IE University,Segovia,,0,3.0,752.194666666667,['http://www.ie.edu/'],9343.0,0.0,40.9481192,-4.1172101
Open University of Madrid (UDIMA),Madrid,,0,3.0,237.773333333333,,7006.0,0.0,40.416782,-3.703507
Alfonso X El Sabio University,Villanueva de la CaÃ±ada,,0,3.0,699.652,,12826.0,0.0,,
Nebrija University,Madrid,,0,3.0,881.749333333334,,11863.0,0.0,40.416782,-3.703507
Camilo JosÃ© Cela University,Villanueva de la CaÃ±ada,,0,3.0,495.641333333333,,,0.0,,
Cardenal Herrera-CEU University,Alfara del Patriarca,,0,3.0,1235.70533333334,,10773.0,0.0,39.544129,-0.3856585
Catholic University of Avila,Ãvila,,0,3.0,288.712,,4284.0,0.0,40.657195,-4.6626677
Catholic University of Valencia,ValÃ¨ncia,,0,3.0,1020.10666666667,,12308.0,0.0,,
San Antonio Catholic University of Murcia,Guadalupe,,0,3.0,981.172,,14922.0,0.0,16.2528827,-61.5686855
University of Deusto,Bilbao,,0,3.0,1266.988,,10967.0,0.0,43.2630018,-2.9350039
University of Navarra,Pamplona,,0,3.0,3571.95733333333,,12701.0,0.0,42.815686,-1.6522353
European University of Madrid,Madrid,,0,3.0,1952.152,,20469.0,0.0,40.416782,-3.703507
European University Miguel de Cervantes,Valladolid,,0,3.0,262.477333333333,,5195.0,0.0,41.6200024,-4.7259906
Francisco de Vitoria University,Madrid,,0,3.0,1326.43866666667,,13498.0,0.0,40.416782,-3.703507
International University of AndalucÃ­a,Seville,,0,3.0,134.0,,,0.0,37.3886303,-5.9953403
International University Isabel I de Castilla,Burgos,,0,3.0,426.293333333333,,5104.0,0.0,42.3448498,-3.6812477
International University of La Rioja,LogroÃ±o,,0,3.0,2162.19466666667,,75588.0,0.0,,
MenÃ©ndez Pelayo International University,Madrid,,0,3.0,113.0,,,0.0,40.416782,-3.703507
Mondragon University,Arrasate,,0,3.0,870.424,,6664.0,0.0,43.0656783,-2.4900779
National University of Distance Education,Madrid,,0,3.0,2496.58666666667,,128084.0,0.0,40.416782,-3.703507
Comillas Pontifical University,Madrid,,0,3.0,1238.29733333333,,11249.0,0.0,40.416782,-3.703507
Pontifical University of Salamanca,Salamanca,,0,3.0,360.254666666667,,4925.0,0.0,40.9651572,-5.6640182
San Jorge University,Zaragoza,,0,3.0,434.556,,3580.0,0.0,41.6915847,-0.9101268
San Pablo-CEU University,Madrid,,0,3.0,1139.55466666667,,10222.0,0.0,40.416782,-3.703507
Abat Oliba-CEU University,Barcelona,,0,3.0,132.952,,2634.0,0.0,41.3825802,2.177073
University of Vic - Central University of Catalonia,Vic,,0,3.0,1309.54933333333,,11869.0,0.0,41.9302021,2.2545943
International University of Catalonia,Barcelona,,0,3.0,731.784,,5099.0,0.0,41.3825802,2.177073
Valencian International University,ValÃ¨ncia,,0,3.0,872.336000000001,,25607.0,0.0,,
Open University of Catalonia,Barcelona,,0,3.0,1433.86133333333,,71965.0,0.0,41.3825802,2.177073
Ramon Llull University,Barcelona,,0,3.0,1988.36933333333,,17820.0,0.0,41.3825802,2.177073
European University of Canarias,Orotava (La),,0,3.0,147.106666666667,,2440.0,0.0,28.4108258,-16.535279
European University of Valencia,ValÃ¨ncia,,0,3.0,455.0,,5985.0,0.0,,
Loyola University Andalusia,Seville,,0,3.0,503.678666666667,,4745.0,0.0,37.3886303,-5.9953403
European University of the Atlantic,Santander,,0,3.0,178.501333333333,,5362.0,0.0,43.4618932,-3.8100255
Fernando Pessoa Canarias University,Santa MarÃ­a de GuÃ­a de Gran Canaria,,0,3.0,133.92,,1366.0,0.0,,
Mid Atlantic University,Las Palmas de Gran Canaria,,0,3.0,129.585333333333,,4089.0,0.0,28.1288694,-15.4349015
Villanueva International University,Madrid,,0,3.0,199.770666666667,,1985.0,0.0,40.416782,-3.703507
Euneiz University,Vitoria-Gasteiz,,0,3.0,17.2773333333333,,299.0,0.0,42.8505845,-2.66145
Universidad Intercontinental de la Empresa,Santiago,,0,3.0,35.0,,258.0,0.0,9.8694792,-83.7980749
ESIC University,Madrid,,0,3.0,179.225333333333,,2532.0,0.0,40.416782,-3.703507
CUNEF University,Madrid,,0,3.0,216.442666666667,,2568.0,0.0,40.416782,-3.703507
International Business University,Madrid,,0,3.0,153.133333333333,,2195.0,0.0,40.416782,-3.703507
University of the Hesperides,Las Palmas de Gran Canaria,,0,3.0,42.5493333333333,,132.0,0.0,28.1288694,-15.4349015
University of Helsinki,Helsinki,,1,3.0,7510.318399999992,['http://www.helsinki.fi/'],26562.0,,60.1666204,24.9435408
University of Turku,Turku,,1,3.0,3349.8460000000005,['http://www.utu.fi/'],15582.0,,60.4515932,22.2669991
Ã…bo Akademi University,Turku,,1,3.0,1113.4764000000005,,,,60.4515932,22.2669991
University of Oulu,Oulu,,1,3.0,3083.0915,['http://www.oulu.fi/'],12916.0,,65.0117914,25.4701973
University of JyvÃ¤skylÃ¤,JyvÃ¤skylÃ¤,,1,3.0,2678.1469999999963,,,,,
Hanken School of Economics,Helsinki,,1,3.0,298.88410000000005,,2533.0,,60.1666204,24.9435408
University of Vaasa,Vaasa,,1,3.0,593.8463000000004,['http://www.uwasa.fi/'],5293.0,,63.0957722,21.6159187
Lappeenranta-Lahti University of Technology (LUT University),Lappeenranta,,1,3.0,1239.8360000000002,,7243.0,,61.0583417,28.1862293
University of Lapland,Rovaniemi,,1,3.0,628.5043999999996,['http://www.ulapland.fi/'],4339.0,,66.5025537,25.7303912
Finnish National Defence University,Helsinki,,1,3.0,,,1051.0,,60.1666204,24.9435408
Aalto University,Espoo,,1,3.0,4477.888200000003,['https://www.aalto.fi/'],17811.0,,60.2049651,24.6559808
University of Eastern Finland,Kuopio,,1,3.0,2668.5692999999987,,14889.0,,62.8924628,27.6783603
University of the Arts Helsinki,Helsinki,,1,3.0,767.3204999999999,,1720.0,,60.1666204,24.9435408
Tampere University,Tampere,,1,3.0,3595.1384000000035,,19954.0,,61.4977929,23.7616372
University of Technology of Troyes,Troyes,1274310.0,1,3.0,,,4919.0,259.0587517788168,48.2971626,4.0746257
Aix-Marseille University,Marseille,13890624.0,1,3.0,,,71899.0,193.19634487266862,43.2963986,5.3777888
University of Caen Lower Normandy,Caen,4500379.0,1,3.0,,,29423.0,152.95445739727424,49.1813403,-0.3635615
University of La Rochelle,La Rochelle,1404152.0,1,3.0,,,6866.0,204.508010486455,46.159732,-1.1515951
University of Burgundy,Dijon,5170719.0,1,3.0,,['https://u-bourgogne.fr/'],32069.0,161.23730082010664,47.3215806,5.0414701
University of Franche-ComtÃ©,BesanÃ§on,3088347.0,1,3.0,,,,,,
University of Western Brittany,Brest,3130229.0,1,3.0,,,23809.0,131.47251039522868,48.3905283,-4.4860088
University of NÃ®mes,NÃ®mes,634072.0,1,3.0,,,,,9.9090767,78.1345452
National Polytechnic Institute of Toulouse,Toulouse,6095006.0,1,3.0,,,6840.0,891.0827485380117,43.6044638,1.4442433
University of Toulouse II - Jean JaurÃ¨s,Toulouse,3821658.0,1,3.0,,,,,43.6044638,1.4442433
Paul Sabatier University,Toulouse,5433957.0,1,3.0,,,30674.0,177.15188759209755,43.6044638,1.4442433
Bordeaux Montaigne University,Pessac,1904308.0,1,3.0,,,13031.0,146.13675082495587,44.805615,-0.6308396
Paul ValÃ©ry University,,,0,,,,,0.0,,
Webster University Vienna - Private University,Vienna,,0,2.0,49.8,,505.833333333,0.0,48.2083537,16.3725042
New Design University St. PÃ¶lten (NDU),St. PÃ¶lten,,0,2.0,42.34,,,0.0,,
Music and Arts University of the City of Vienna,Vienna,,0,2.0,214.55,,792.4166666670001,0.0,48.2083537,16.3725042
University College of Teacher Education Burgenland,Eisenstadt,,0,2.0,,,1111.372461396,0.0,47.8454821,16.5249288
University College of Teacher Education Carinthia,Klagenfurt,,0,2.0,,,929.742463724,0.0,46.623943,14.3075976
University College of Teacher Education Lower Austria,Baden bei Wien,,0,2.0,,,2543.59573852,0.0,48.0076713,16.2343693
University College of Teacher Education Upper Austria,Linz,,0,2.0,,,2801.641314235,0.0,48.3059078,14.286198
Private University College of Teacher Education of the Diocese of Linz,Linz,,0,2.0,,,1718.3713829110002,0.0,48.3059078,14.286198
University College of Teacher Education Salzburg Stefan Zweig,Salzburg,,0,2.0,,,1230.571742649,0.0,47.7981346,13.0464806
University College of Teacher Education Styria,Graz,,0,2.0,,,2951.251613361,0.0,47.0708678,15.4382786
Private University College of Teacher Education Augustinum,Graz,,0,2.0,,,824.4504791290001,0.0,47.0708678,15.4382786
University College of Teacher Education Tyrol,Innsbruck,,0,2.0,,,1398.7117350089998,0.0,47.2654296,11.3927685
University College of Teacher Education Edith Stein,Innsbruck,,0,2.0,,,464.461247672,0.0,47.2654296,11.3927685
University College of Teacher Education Vorarlberg,Feldkirch,,0,2.0,,,746.5316343879999,0.0,47.8647485,7.2730686
University College of Teacher Education in Vienna,Vienna,,0,2.0,,,4417.775673708,0.0,48.2083537,16.3725042
Christian University College of Teacher Education Vienna/Krems,Vienna,,0,2.0,,,2919.35332062,0.0,48.2083537,16.3725042
University College of Teacher Education for Agricultural and Environmental Education Vienna,Vienna,,0,2.0,,,910.201190477,0.0,48.2083537,16.3725042
University of Applied Sciences Burgenland,Eisenstadt,,0,2.0,273.42,,9553.942857142,0.0,47.8454821,16.5249288
Salzburg University of Applied Sciences,Puch bei Hallein,,0,2.0,448.4707,,3689.083333333,0.0,47.716852,13.0904526
St. PÃ¶lten University of Applied Sciences,St. PÃ¶lten,,0,2.0,475.48,,,0.0,,
CAMPUS 02 University of Applied Sciences,Graz,,0,2.0,158.3854,,1470.16025641,0.0,47.0708678,15.4382786
University of Applied Sciences BFI Vienna,Vienna,,0,2.0,226.53,,6025.4,0.0,48.2083537,16.3725042
Management Center Innsbruck,Innsbruck,,0,2.0,408.9125,,3416.583333333,0.0,47.2654296,11.3927685
University of Applied Sciences Kufstein Tirol,Kufstein,,0,2.0,148.6588,,1673.0833333330002,0.0,47.582996,12.1692134
University of Applied Sciences Upper Austria,Wels,,0,2.0,898.0201,,5452.725,0.0,52.2928116,-3.73893
University of Applied Sciences Campus Vienna,Vienna,,0,2.0,898.4506,,7545.351165501,0.0,48.2083537,16.3725042
Lauder Business School,Vienna,,0,2.0,8.8597,,414.666666666,0.0,48.2083537,16.3725042
Health University of Applied Sciences Tyrol,Innsbruck,,0,2.0,217.1639,,1825.166666667,0.0,47.2654296,11.3927685
Ferdinand Porsche FERNFH,Wiener Neustadt,,0,2.0,72.7061,,907.733333333,0.0,47.8131847,16.2441166
FHWien der WKW,Vienna,,0,2.0,224.9896,,3605.741666667,0.0,48.2083537,16.3725042
Vorarlberg University of Applied Sciences,Dornbirn,,0,2.0,343.6352,,1681.666666666,0.0,47.4136351,9.7423762
University of Applied Sciences Technikum Vienna,Vienna,,0,2.0,497.5684,,4787.075,0.0,48.2083537,16.3725042
IMC University of Applied Sciences Krems,Krems an der Donau,,0,2.0,352.4389,,3090.366666666,0.0,48.4108382,15.6003717
University of Applied Sciences Wiener Neustadt,Wiener Neustadt,,0,2.0,518.9137,,4231.416666667,0.0,47.8131847,16.2441166
Carinthia University of Applied Sciences,Spittal an der Drau,,0,2.0,436.1257,,2916.75,0.0,46.7982211,13.4963308
FH JOANNEUM University of Applied Sciences,Graz,,0,2.0,748.3026,,5139.666666666,0.0,47.0708678,15.4382786
University of Applied Sciences for Health Professions Upper Austria,Linz,,0,2.0,194.2876,,1776.666666667,0.0,48.3059078,14.286198
Karl Landsteiner University of Health Sciences,Krems an der Donau,,0,2.0,208.82,,787.090909091,0.0,48.4108382,15.6003717
JAM MUSIC LAB Private University for Jazz and Popular Music,Vienna,,0,2.0,19.5,,197.533333333,0.0,48.2083537,16.3725042
Stella Vorarlberg Private University College of Music,,,0,2.0,93.77,,97.0,0.0,,
Joseph Haydn Private University College Burgenland (JHP),Eisenstadt,,0,2.0,47.99,,197.333333333,0.0,47.8454821,16.5249288
Gustav Mahler Private University of Music,Klagenfurt,,0,2.0,103.54,,283.0,0.0,46.623943,14.3075976
Bertha von Suttner St. PÃ¶lten Private University,St. PÃ¶lten,,0,2.0,36.71,,,0.0,,
Haute Ecole ICHEC - ECAM - ISFSC,Brussels,,0,2.0,,,4950.0,0.0,50.8467372,4.352493
Haute Ecole Albert Jacquard,Namur,,0,2.0,,,2685.0,0.0,50.4665284,4.8661892
EPHEC University College,Woluwe-Saint-Lambert,,0,2.0,,,8420.0,0.0,50.8484767,4.4349977
HELMo University College,LiÃ¨ge,,0,2.0,,,8735.0,0.0,42.6586714,42.0053641
HEPH-Condorcet,Mons,,0,2.0,,,8525.0,0.0,50.4549568,3.951958
Royal Academy of fine-Arts of Brussels,Brussels,,0,2.0,,,545.0,0.0,50.8467372,4.352493
Royal Conservatoire of Brussels,Brussels,,0,2.0,,,605.0,0.0,50.8467372,4.352493
Conservatoire royal de LiÃ¨ge,LiÃ¨ge,,0,2.0,,,,0.0,42.6586714,42.0053641
La Cambre,Brussels,,0,2.0,,,760.0,0.0,50.8467372,4.352493
ESA Saint-Luc LiÃ¨ge,LiÃ¨ge,,0,2.0,,,,0.0,42.6586714,42.0053641
Erasmus University College Brussels,Anderlecht,4519376.88,2,2.0,572.16,,6425.0,703.4049618677043,50.8390983,4.3296526
Antwerp maritime academy,Antwerp,485595.67,2,2.0,47.15,,500.0,971.19134,51.2211097,4.3997081
University College Ghent,Gent,13124494.48,2,2.0,1158.66,,16745.0,783.7858751866229,51.0538286,3.7250121
LUCA School of Arts,Schaarbeek,2754763.6099999985,2,2.0,450.85,,3740.0,736.5678101604274,50.8622023,4.379986
Karel de Grote University College,Antwerp,10056384.959999518,2,2.0,839.73,,13530.0,743.2657028824477,51.2211097,4.3997081
University College of Namur - LiÃ¨ge - Luxembourg,Namur,,0,2.0,,,,0.0,50.4665284,4.8661892
ArtsÂ² Academy of Arts,Mons,,0,2.0,,,,0.0,50.4549568,3.951958
AP University College Antwerpen,Antwerp,9837697.019999914,2,2.0,1046.5,,15970.0,616.0110845334949,51.2211097,4.3997081
PXL University College,Hasselt,7066920.779999999,2,2.0,678.65,,9800.0,721.1143653061224,50.9303735,5.3378043
ESA Saint-Luc Bruxelles,Brussels,,0,2.0,,,845.0,0.0,50.8467372,4.352493
University College of the Province of Namur,Namur,,0,1.0,,,1015.0,0.0,50.4665284,4.8661892
Superior School of Circus Arts,Anderlecht,,0,1.0,,,45.0,0.0,50.8390983,4.3296526
University college Arteveldehogeschool,Gent,12023040.44,2,1.0,915.02,,14255.0,843.4261971238162,51.0538286,3.7250121
Howest,,,0,,,,,0.0,,
Thomas More Kempen,Geel,6612935.449999999,2,1.0,575.48,,7900.0,837.0804367088607,51.1610826,4.9903187
UC Leuven,Leuven,8687235.360000001,2,1.0,601.14,,10060.0,863.5422823061632,50.879202,4.7011675
UC Limburg,Diepenbeek,4580458.47,2,1.0,358.96,,5330.0,859.373071294559,50.9078485,5.4200307
Catholic University College Vives Zuid,Kortrijk,10113420.64,2,1.0,715.2,,11675.0,866.2458792291221,50.8276429,3.2659884
ODISEE,Brussels,11124210.19,2,1.0,759.61,,11515.0,966.062543638732,50.8467372,4.352493
Thomas More Mechelen-Antwerpen,Mechelen,9028823.0,2,1.0,580.38,,9500.0,950.4024210526316,51.0281381,4.4803453
"""South-West University """"Neofit Rilski""""""",Blagoevgrad,,0,3.0,,,,0.0,41.750287,23.4873411
Burgas Professor Assen Zlatarov University,Burgas,,0,3.0,,,3276.0,0.0,42.4936616,27.4721276
Burgas Free University,Burgas,,0,3.0,,,2153.0,0.0,42.4936616,27.4721276
University of Economics - Varna,Varna,,0,3.0,,,5272.0,0.0,43.2073873,27.9166653
Technical University of Varna,Varna,,0,3.0,,['http://www.tu-varna.acad.bg/'],4184.0,0.0,43.2073873,27.9166653
"""Varna Medical University """"prof. dr. Paraskev Stoyanov""""""",Varna,,0,3.0,,,,0.0,43.2073873,27.9166653
"""Varna Free University """"Chernorizets Hrabar""""""",Varna,,0,3.0,,,,0.0,43.2073873,27.9166653
Nikola Vaptsarov Naval Academyâ€™,Varna,,0,3.0,,,,0.0,43.2073873,27.9166653
St. Cyril and St. Methodius University of Veliko Tarnovo,Veliko Tarnovo,,0,3.0,,,10153.0,0.0,43.0820584,25.6321312
Vasil Levski National Military University,Veliko Tarnovo,,0,3.0,,,1283.0,0.0,43.0820584,25.6321312
D.A.Tsenov Academy of Economics,Svishtov,,0,3.0,,,3799.0,0.0,43.6158817,25.3509536
Technical University of Gabrovo,Gabrovo,,0,3.0,,['http://www.tugab.bg/'],2769.0,0.0,42.9638895,25.2119538
Medical University - Pleven,Pleven,,0,3.0,,,2663.0,0.0,43.4809895,24.6060665
Paisii Hilendarski University of Plovdiv,Plovdiv,,0,3.0,,,16123.0,0.0,42.1418541,24.7499297
University of Food Technologies â€“ Plovdiv,Plovdiv,,0,3.0,,,,0.0,42.1418541,24.7499297
Agricultural University â€“ Plovdiv,Plovdiv,,0,3.0,,,,0.0,42.1418541,24.7499297
Medical University of Plovdiv,Plovdiv,,0,3.0,,,5910.0,0.0,42.1418541,24.7499297
University of Agribusiness and Rural Development,Plovdiv,,0,3.0,,,2726.0,0.0,42.1418541,24.7499297
University of Security and Economics,Plovdiv,,0,3.0,,,1512.0,0.0,42.1418541,24.7499297
Angel Kanchev University of Ruse,Ruse,,0,3.0,,,5462.0,0.0,43.8480413,25.9542057
Sofia University St. Kliment Ohridski,Sofia,,0,3.0,,,20034.0,0.0,42.6977028,23.3217359
University of National and World Economy,Sofia,,0,3.0,,['http://www.unwe.acad.bg/'],15764.0,0.0,42.6977028,23.3217359
Technical University of Sofia,Sofia,,0,3.0,,['http://www.tu-sofia.bg/'],9395.0,0.0,42.6977028,23.3217359
University of Chemical Technology and Metallurgy,Sofia,,0,3.0,,['http://www.uctm.edu/'],1562.0,0.0,42.6977028,23.3217359
St. Ivan Rilski University of Mining and Geology,Sofia,,0,3.0,,,1252.0,0.0,42.6977028,23.3217359
University of Forestry,Sofia,,0,3.0,,,1818.0,0.0,42.6977028,23.3217359
Medical University - Sofia,Sofia,,0,3.0,,,8716.0,0.0,42.6977028,23.3217359
National Sports Academy Vasil Levski,Sofia,,0,3.0,,,3106.0,0.0,42.6977028,23.3217359
American University in Bulgaria,Blagoevgrad,,0,2.0,,['http://www.aubg.bg/'],1002.0,0.0,41.750287,23.4873411
Varna University of Management,Varna,,0,2.0,,,284.0,0.0,43.2073873,27.9166653
