Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
791,781-790,851-900,Technological University of Dublin,Ireland,Europe,L,CO,HI,Public,17.7,690,22.4,594,18,801+,6.1,801+,49.8,440,63.7,312,67.3,288,53.7,787,22.6,679,58.7,528=,-
792,781-790,801-850,Universidad de Alicante,Spain,Europe,L,FC,VH,Public,21.1,589,11.5,701+,36,556,14.2,801+,11.5,801+,21.4,704,27.5,644,79.3,362,10.4,801+,70.9,301=,-
795,781-790,901-950,"Universidade Católica Portuguesa, UCP",Portugal,Europe,M,FO,VH,Private not for Profit,16.5,701+,31.2,459,14.1,801+,12.9,801+,17.1,767,58.3,353,62.3,320,33.8,801+,57.7,286,47.9,763=,-
797,781-790,781-790,University of Mons,Belgium,Europe,M,CO,VH,Public,7,701+,8.1,701+,5.2,801+,53.2,349,40.9,491,47,432,50.6,409,43.6,801+,7.3,801+,54.4,613=,-
808,801-850,851-900,AGH University of Krakow,Poland,Europe,L,CO,VH,Public,13.1,701+,30.6,465,54.7,344,12.7,801+,4.4,801+,7.3,801+,12.1,801+,75.6,430,4,801+,47.4,776=,-
815,801-850,801-850,Gdansk University of Technology,Poland,Europe,L,FO,VH,Public,12,701+,24.1,560,31.8,603,25.5,630,6.9,801+,7.8,801+,12.7,801+,70,531,4,801+,64,422=,-
824,801-850,801-850,Perugia University,Italy,Europe,L,FC,VH,Public,12,701+,5.2,701+,5,801+,53,355,8.8,801+,10,801+,13.9,801+,71.5,507,5.2,801+,49.3,725=,-
825,801-850,580,Politecnico di Bari,Italy,Europe,M,SP,VH,Public,9.8,701+,9,701+,13.1,801+,64.7,251,6.3,801+,13.1,801+,10,801+,47.6,801+,3.7,801+,27.4,801+,-
836,801-850,801-850,Universita' degli studi di Salerno,Italy,Europe,L,FC,VH,Public,12.3,701+,6.1,701+,9.6,801+,46.9,404,4.4,801+,2.6,801+,7.4,801+,85.5,246,5.4,801+,58.4,536=,-
837,801-850,751-760,Universita' Politecnica delle Marche - UNIVPM,Italy,Europe,M,FO,VH,Public,8,701+,5.2,701+,17.1,801+,55.3,326,8.6,801+,11.6,801+,17.5,801+,77.4,396,3.9,801+,57.3,555=,-
838,801-850,851-900,Università  degli Studi di Palermo,Italy,Europe,L,CO,VH,Public,17.8,688,4.8,701+,7.1,801+,45,415,3.3,801+,3.8,801+,8.8,801+,84,274,6.4,801+,44.3,801+,-
839,801-850,801-850,Universität Duisburg-Essen,Germany,Europe,XL,FC,VH,Public,16.1,701+,8.1,701+,21.9,794,15.3,799,33,555,52.7,391,57.2,357,90.5,168,16.9,788,44.9,801+,-
841,801-850,801-850,University of Bari,Italy,Europe,XL,FO,VH,Public,16.8,701+,5.3,701+,7.4,801+,43.1,437,6.9,801+,4,801+,9.1,801+,80.7,338,12.2,801+,56.3,573=,-
846,801-850,781-790,University of Latvia,Latvia,Europe,M,FC,VH,Public,14.5,701+,22.8,581,10,801+,10.4,801+,16.1,775,10,801+,15.8,801+,66.6,595,92,89,56,579=,-
850,801-850,721-730,University of Modena and Reggio Emilia,Italy,Europe,L,FC,VH,Public,12.3,701+,7.6,701+,4.6,801+,56.7,310,4.8,801+,7.5,801+,13.1,801+,55.1,767,20.3,719,54.4,613=,-
851,801-850,,University of Namur,Belgium,Europe,M,FO,VH,,6.4,701+,8.8,701+,5.8,801+,44.4,421,37.2,521,59.3,345,62.7,316,47.5,801+,10.3,801+,53.4,632=,-
854,801-850,851-900,University of Wroclaw,Poland,Europe,L,CO,VH,Public,20.6,599,22,603,45,436,6.9,801+,7.2,801+,15.6,801+,21.7,736,63.2,648,18.5,749,45.3,801+,-
866,851-900,901-950,Catania University,Italy,Europe,L,FC,VH,Public,17.5,701+,6.2,701+,8.7,801+,35.9,517,15.4,798,8.2,801+,12.6,801+,74.4,456,9.4,801+,46.3,801+,-
882,851-900,851-900,Nantes University,France,Europe,XL,CO,VH,Public,14.8,701+,5.9,701+,12.3,801+,30.6,582,20.2,709,25,665,31,603,88.1,201,4.6,801+,48.3,749=,-
889,851-900,901-950,Universidade de Vigo,Spain,Europe,L,CO,VH,Public,14,701+,9.1,701+,15.4,801+,32.5,555,4.5,801+,11.4,801+,8.7,801+,81.5,323,5.1,801+,72.7,279,-
890,851-900,901-950,Universita' degli Studi della Tuscia,Italy,Europe,M,FO,VH,Public,4,701+,1.8,701+,8.4,801+,67.2,234,19.3,722,28.5,607,32.8,580,40.5,801+,2,801+,36.7,801+,-
891,851-900,851-900,Universität Düsseldorf,Germany,Europe,L,FC,VH,Public,16.2,701+,11.4,701+,60.4,298,11.5,801+,,,30.6,584,23,720,68.5,558,4.9,801+,36.9,801+,-
892,851-900,801-850,Universität Rostock,Germany,Europe,L,FC,HI,Public,9.6,701+,5,701+,92.6,90,9.5,801+,,,21.2,705,16,801+,77.3,398,6.6,801+,39.5,801+,-
893,851-900,711-720,Université de Franche-Comté,France,Europe,S,CO,VH,Public,7.6,701+,3.6,701+,100,8,18.7,740,,,,,,,77.4,395,3.8,801+,32,801+,-
898,851-900,851-900,University of Gdansk,Poland,Europe,L,CO,VH,Public,17.4,701+,13.4,701+,41.4,488,7.4,801+,4.5,801+,5.1,801+,9.6,801+,73.9,469,23.6,662,71,300,-
903,851-900,771-780,Verona University,Italy,Europe,L,FO,VH,Public,13.1,701+,5,701+,5.9,801+,50,375,6.3,801+,8.4,801+,14.1,801+,70.3,523,6.9,801+,52.7,652=,-
904,851-900,851-900,Vilnius Gediminas Technical University,Lithuania,Europe,M,SP,VH,Public,13.8,701+,17.4,701+,38.4,529,15.6,790,19.3,723,54.3,381,58.7,347,42.7,801+,9.3,801+,35.1,801+,-
906,851-900,901-950,Wroclaw University of Science and Technology (WUST),Poland,Europe,L,SP,VH,Public,15,701+,31,461,45.7,429,10.8,801+,4.7,801+,10.6,801+,15.9,801+,68.8,553,4,801+,31.2,801+,-
932,901-950,1001-1200,Tallinn University,Estonia,Europe,M,FO,VH,Public,11.1,701+,12.4,701+,12.6,801+,9.9,801+,63.9,363,30.6,585,36.5,529,55.1,768,45.6,382,44.3,801+,-
937,901-950,1001-1200,Universidad de Oviedo,Spain,Europe,L,CO,VH,Public,18.2,671,8.4,701+,34.1,576,11.6,801+,5.8,801+,6,801+,11.4,801+,74,468,11.9,801+,63.7,429=,-
938,901-950,851-900,Universidad de Valladolid,Spain,Europe,L,CO,VH,,16.1,701+,6.4,701+,41.2,491,7.1,801+,9.6,801+,7.7,801+,13.3,801+,84.9,257,20.3,721,59.2,516=,-
939,901-950,,Universidad Europea de Madrid,Spain,Europe,L,FC,MD,,7.7,701+,19.7,668,56.6,328,3,801+,14.4,801+,96.1,110,96.4,95,11.6,801+,10.7,801+,45,801+,-
941,901-950,901-950,Università degli Studi Roma Tre,Italy,Europe,XL,CO,VH,Public,24.7,515,14.6,701+,3.3,801+,15.5,796,8.8,801+,7.8,801+,6,801+,66.7,594,11,801+,56.2,576=,-
947,901-950,901-950,University of Maribor,Slovenia,Europe,L,FC,HI,Public,10.8,701+,15.6,701+,36.4,551,12.7,801+,2.3,801+,27.3,623,28.3,635,67.4,580,41.3,422,49.9,705,-
959,951-1000,951-1000,Athens University of Economics And Business,Greece,Europe,M,SP,HI,Public,10.1,701+,37.2,380,2.1,801+,31.9,565,1.9,801+,6.6,801+,11,801+,14.8,801+,33.9,501,39.8,801+,-
963,951-1000,851-900,CY Cergy Paris University,France,Europe,M,FO,VH,Public,5.2,701+,5.2,701+,64.9,270,7.4,801+,55.1,410,59,347,62.9,314,47.9,801+,1.3,801+,31.4,801+,-
975,951-1000,901-950,Lodz University,Poland,Europe,L,CO,VH,Public,15.4,701+,7.3,701+,47.9,406,6.9,801+,5.7,801+,19,743,25.1,684,75.7,427,21,705,29.8,801+,-
990,951-1000,951-1000,Universidad de Córdoba - España,Spain,Europe,L,CO,VH,,15.5,701+,6.5,701+,32.8,591,18.1,749,,,,,,,79.5,360,5.9,801+,46,801+,-
997,951-1000,851-900,Universita' degli Studi di Ferrara,Italy,Europe,L,FC,HI,Public,9.3,701+,4.7,701+,3.6,801+,47.3,399,3.8,801+,6.8,801+,12.3,801+,65.5,614,7,801+,54.2,619=,-
998,951-1000,901-950,Università della Calabria,Italy,Europe,M,CO,VH,Public,11.1,701+,4.5,701+,10.6,801+,34.9,526,9.2,801+,7.9,801+,13.5,801+,79.1,367,1.7,801+,57.5,550=,-
1009,1001-1200,1201-1400,Alexandru Ioan Cuza University,Romania,Europe,L,CO,HI,Public,11.7,701+,20.6,641,7.8,801+,5.8,801+,4.6,801+,17,779,21.4,742,49.1,801+,23.1,668,48.7,737=,-
1024,1001-1200,1201-1400,CEU University,Spain,Europe,L,FO,VH,,7.3,701+,20.8,634,26.5,703,3.1,801+,8.4,801+,58.4,352,62.4,319,18.5,801+,16.6,793,35.6,801+,-
1028,1001-1200,1001-1200,Cracow University of Technology of Tadeusz Kościuszko,Poland,Europe,L,SP,VH,Public,12.6,701+,28.1,495,28.3,677,10,801+,3.4,801+,9.2,801+,12.6,801+,44.2,801+,10.3,801+,20.5,801+,-
1056,1001-1200,1001-1200,Lodz University of Technology,Poland,Europe,M,SP,VH,Public,6,701+,7.3,701+,59,306,16,784,4.1,801+,8.3,801+,12.4,801+,49.2,801+,4.1,801+,40.3,801+,-
1062,1001-1200,1001-1200,MATE Hungarian University of Agriculture and Life Sciences,Hungary,Europe,M,FO,VH,Private not for Profit,7.1,701+,8,701+,34.1,577,7.2,801+,4.1,801+,43.1,467,48.3,431,59,707,4.8,801+,55.4,593=,-
1067,1001-1200,1001-1200,Mykolas Romeris University,Lithuania,Europe,S,FO,VH,Public,6,701+,12.9,701+,22.7,778,7.1,801+,12.1,801+,51.6,398,55,374,23.6,801+,53.2,320,50.4,696=,-
1072,1001-1200,901-950,Nicolaus Copernicus University,Poland,Europe,L,FC,HI,Public,10.3,701+,4.8,701+,65.8,262,9.4,801+,4.6,801+,11.3,801+,15.8,801+,81.3,325,3.9,801+,30.1,801+,-
1078,1001-1200,1201-1400,Obuda University,Hungary,Europe,M,FO,VH,Public,7.9,701+,8.9,701+,3.9,801+,19.6,721,34.7,538,13.3,801+,19.3,774,44.5,801+,5.1,801+,42.4,801+,-
1080,1001-1200,851-900,Pavol Josef Safarik University,Slovakia,Europe,M,FC,HI,Public,6.4,701+,5.6,701+,69.2,238,5.5,801+,7,801+,78.5,232,74.5,236,41.6,801+,5.5,801+,22.2,801+,-
1083,1001-1200,851-900,Poznan University of Life Sciences,Poland,Europe,M,FO,VH,Public,6.6,701+,4.1,701+,92.2,95,14.8,801+,1.7,801+,11.1,801+,14.5,801+,37.5,801+,4.1,801+,26.6,801+,-
1084,1001-1200,1001-1200,Poznan University of Technology,Poland,Europe,L,FO,VH,Public,10.9,701+,13.1,701+,39.8,510,12.8,801+,3.4,801+,10.7,801+,15.5,801+,47.8,801+,7.4,801+,27.6,801+,-
1086,1001-1200,951-1000,Riga Stradins University,Latvia,Europe,M,SP,HI,Public,7.4,701+,16.2,701+,16.3,801+,3.4,801+,30.9,580,96.1,111,95.9,102,15.9,801+,14.8,801+,29.5,801+,-
1095,1001-1200,1001-1200,Silesian University of Technology in Gliwice,Poland,Europe,L,FO,VH,Public,8.7,701+,9.8,701+,39.3,516,15.2,801+,4.9,801+,7.1,801+,12.4,801+,75.2,440,13.2,801+,32.1,801+,-
1096,1001-1200,1001-1200,Slovak University of Technology in Bratislava,Slovakia,Europe,M,FO,VH,Public,10.8,701+,10.6,701+,48.9,396,7.7,801+,4.8,801+,29.1,602,21.8,732,54.2,779,17.9,762,28.1,801+,-
1105,1001-1200,1001-1200,Széchenyi István University,Hungary,Europe,M,FO,VH,Private for Profit,12.2,701+,36.6,391,28.9,655,2.9,801+,4.9,801+,13.4,801+,19.3,773,16.5,801+,4.8,801+,44.9,801+,-
1107,1001-1200,1001-1200,Technical University of Kosice,Slovakia,Europe,M,FO,VH,Public,8.2,701+,13.8,701+,21.4,801+,10.3,801+,1.8,801+,89.6,169,66.7,291,40.5,801+,21.4,699,21.9,801+,-
1117,1001-1200,1001-1200,Universidad de Castilla-La Mancha,Spain,Europe,L,FC,VH,Public,10.7,701+,4.7,701+,22,791,17.9,754,2.7,801+,9.7,801+,15.5,801+,70.4,521,7.9,801+,46.9,793=,-
1120,1001-1200,951-1000,Universidad de León,Spain,Europe,M,CO,VH,,10.4,701+,7.1,701+,52.1,361,9.6,801+,3.7,801+,20.6,722,15.5,801+,46.6,801+,3.5,801+,60.7,494=,-
1131,1001-1200,1001-1200,Universidad Rey Juan Carlos,Spain,Europe,XL,CO,VH,Public,12.5,701+,16.9,701+,11.5,801+,9.4,801+,24.2,660,20.3,727,26.4,667,65.3,619,14.5,801+,64,422=,-
1134,1001-1200,1001-1200,Universidade da Coruña,Spain,Europe,L,CO,VH,Public,8.5,701+,7.1,701+,29.3,645,13.8,801+,3.5,801+,9.4,801+,15.2,801+,61.7,667,3.6,801+,61.1,477=,-
1136,1001-1200,1001-1200,"Universita' degli Studi di Napoli ""Parthenope""",Italy,Europe,M,FO,VH,Public,5.6,701+,3.4,701+,4.2,801+,47.2,401,2,801+,4.2,801+,8.7,801+,33.3,801+,1.8,801+,41.2,801+,-
1137,1001-1200,1001-1200,Università degli Studi di Udine,Italy,Europe,M,CO,VH,Public,9.5,701+,4.8,701+,15.2,801+,23.9,657,5.7,801+,8.2,801+,13.6,801+,52.1,801+,2,801+,42.8,801+,-
1138,1001-1200,1001-1200,"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,Europe,L,FO,VH,Public,4.9,701+,3,701+,4.6,801+,45.9,407,5.1,801+,5.1,801+,4,801+,60.3,688,3.2,801+,29.6,801+,-
1140,1001-1200,1001-1200,Universität Bielefeld,Germany,Europe,L,FO,VH,Public,19.9,620,7.5,701+,16.1,801+,8.8,801+,25.9,636,16.3,794,12.4,801+,68.9,548,4.9,801+,44.1,801+,-
1141,1001-1200,1001-1200,Universitat de Lleida,Spain,Europe,M,CO,VH,,7.4,701+,3.7,701+,27.5,690,21.5,691,7.3,801+,16.2,795,22.3,724,56.4,747,5.2,801+,59.1,519,-
1142,1001-1200,,Universitat Jaume I,Spain,Europe,L,CO,VH,Public,7.7,701+,3.3,701+,20.8,801+,28.4,601,4.8,801+,24.1,671,30.2,612,51.1,801+,1.7,801+,59.6,509=,-
1143,1001-1200,,Université de Bretagne Occidentale (UBO),France,Europe,L,FO,VH,,6.2,701+,5.4,701+,32.1,600,25.2,634,,,,,,,82.7,297,3.6,801+,47.2,783=,-
1145,1001-1200,1001-1200,Université Lumière Lyon 2,France,Europe,L,SP,VH,Public,14.3,701+,5.6,701+,5.6,801+,11.8,801+,33.5,548,48.8,415,53.6,382,62.5,658,2.4,801+,31.9,801+,-
1146,1001-1200,901-950,Université Paris 2 Panthéon-Assas,France,Europe,L,SP,VH,Public,8.5,701+,8.2,701+,63.1,280,1.4,801+,15.8,785,38.6,510,44.1,473,6.1,801+,64.4,242,17,801+,-
1147,1001-1200,951-1000,Université Sorbonne Paris Nord,France,Europe,L,FO,VH,,14,701+,7.9,701+,6,801+,37.6,496,,,,,,,57.2,729,6.9,801+,33.5,801+,-
1148,1001-1200,951-1000,"Université Toulouse 1, Capitole",France,Europe,L,FO,VH,Public,18.3,667,8.7,701+,2.2,801+,10.1,801+,32.1,562,63,320,46.9,442,52.2,801+,7.9,801+,33,801+,-
1159,1001-1200,1001-1200,University of Deusto,Spain,Europe,M,FO,VH,,8.9,701+,29.8,477,7.4,801+,14.3,801+,8.8,801+,29.9,592,35.8,539,29.1,801+,52.2,324,31.6,801+,-
1164,1001-1200,1001-1200,University of Ioannina,Greece,Europe,XL,FC,HI,,9.4,701+,5.6,701+,1.9,801+,32,562,2,801+,7.5,801+,11.9,801+,55.7,757,3.6,801+,36.5,801+,-
1172,1001-1200,901-950,University of Murcia,Spain,Europe,L,FC,VH,Public,15.3,701+,5.4,701+,24.9,735,14.9,801+,,,7,801+,12.2,801+,77.9,385,4.9,801+,64.4,413=,-
1178,1001-1200,951-1000,University of Parma,Italy,Europe,XL,FC,HI,Public,13.6,701+,5.8,701+,4.5,801+,33,551,5.2,801+,16.8,784,22.9,722,63,651,12.5,801+,37,801+,-
1181,1001-1200,1001-1200,University of Salento,Italy,Europe,L,CO,VH,Public,6.8,701+,1.9,701+,8.2,801+,41.5,454,1.5,801+,4.5,801+,9.5,801+,71.9,501,3.4,801+,31.9,801+,-
1186,1001-1200,,University of the Algarve,Portugal,Europe,M,CO,VH,,7.2,701+,3.2,701+,13.6,801+,28.3,604,6.6,801+,53,388,57.4,355,66.3,604,3,801+,45,801+,-
1191,1001-1200,1001-1200,University of Warmia and Mazury in Olsztyn,Poland,Europe,L,FC,HI,Public,10.8,701+,14.5,701+,42,478,7.7,801+,2.6,801+,4.6,801+,9,801+,42.6,801+,4,801+,43.7,801+,-
1194,1001-1200,1001-1200,University of Zilina,Slovakia,Europe,M,FO,VH,Public,6.3,701+,7.3,701+,59.5,302,13.9,801+,5.5,801+,12.3,801+,14.7,801+,25.6,801+,5.6,801+,36.5,801+,-
1197,1001-1200,1001-1200,Warsaw University of Life Sciences,Poland,Europe,L,FO,VH,Public,8,701+,7.9,701+,23.1,773,14.6,801+,2.4,801+,11.9,801+,15.8,801+,67.5,576,7.1,801+,42.6,801+,-
1262,1201-1400,,Latvia University of Life Sciences and Technologies,Latvia,Europe,S,FO,VH,Public,7.5,701+,10.1,701+,5.7,801+,7.9,801+,1.8,801+,16.5,790,19.1,776,24.1,801+,17.7,768,35.8,801+,-
1296,1201-1400,1001-1200,Slovak University of Agriculture in Nitra,Slovakia,Europe,S,SP,HI,Public,8.9,701+,10.6,701+,36.7,547,15.5,794,8.8,801+,8.9,801+,12.3,801+,28.5,801+,5.7,801+,24.9,801+,-
1303,1201-1400,1201-1400,Technical University of Cluj-Napoca,Romania,Europe,L,SP,VH,Public,5.8,701+,10.7,701+,10.5,801+,8.2,801+,4,801+,5.6,801+,10.1,801+,46.5,801+,5.1,801+,42.1,801+,-
1305,1201-1400,1201-1400,Technische Universität Kaiserslautern,Germany,Europe,L,CO,VH,,8.6,701+,6,701+,22.2,787,7.5,801+,,,,,,,63.4,645,5.4,801+,,,-
1307,1201-1400,1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Europe,L,SP,VH,Public,6.5,701+,14.5,701+,3.8,801+,10,801+,,,8.6,801+,6.6,801+,49.3,801+,5.3,801+,22.7,801+,-
1315,1201-1400,1201-1400,Transilvania University of Brasov,Romania,Europe,L,FC,HI,Public,9,701+,10.2,701+,8.4,801+,7.1,801+,5,801+,3.8,801+,8.9,801+,69.6,538,5.3,801+,32.2,801+,-
1317,1201-1400,,UCAM Universidad Católica San Antonio de Murcia,Spain,Europe,L,FO,VH,,9.6,701+,5.6,701+,9.9,801+,7.5,801+,14.6,801+,43.8,460,49,425,23.9,801+,1.8,801+,41.4,801+,-
1355,1201-1400,,Universita' degli Studi di Urbino Carlo Bo,Italy,Europe,L,FO,VH,Public,6.8,701+,2.8,701+,3,801+,14.5,801+,22.6,680,9.1,801+,14.2,801+,28.5,801+,13.8,801+,27.3,801+,-
1360,1201-1400,1001-1200,Universität Siegen,Germany,Europe,L,CO,HI,Public,5.4,701+,1.2,701+,15.4,801+,10.2,801+,53.9,419,37.3,524,42.9,485,42,801+,4.9,801+,29.2,801+,-
1361,1201-1400,1001-1200,Université de Caen Normandie,France,Europe,L,FC,HI,Public,11.3,701+,5.2,701+,9.2,801+,10.3,801+,11,801+,11.4,801+,8.7,801+,76.4,414,6.6,801+,35.8,801+,-
1362,1201-1400,1201-1400,Université de Limoges,France,Europe,M,SP,VH,,8.9,701+,5.5,701+,22.4,783,9.1,801+,,,,,,,55.9,750,3.6,801+,29.6,801+,-
1363,1201-1400,1001-1200,Université de Poitiers,France,Europe,L,CO,VH,Public,11.1,701+,1.2,701+,7.6,801+,8.5,801+,,,38.9,505,29.1,626,74.6,448,13.6,801+,39.3,801+,-
1367,1201-1400,1201-1400,Université Jean Moulin Lyon 3,France,Europe,L,SP,VH,Public,11.2,701+,11.4,701+,2.4,801+,4.3,801+,27,626,44.1,456,49.2,421,11.8,801+,5.9,801+,25.4,801+,-
1369,1201-1400,1001-1200,Université Paris-Nanterre,France,Europe,XL,FO,VH,Public,14.6,701+,4.7,701+,4.7,801+,4,801+,11.7,801+,2.1,801+,1.8,801+,60,692,44.3,398,39.8,801+,-
1370,1201-1400,1001-1200,Université Paul-Valéry Montpellier 3,France,Europe,L,FO,VH,Public,14.9,701+,6.1,701+,4,801+,8.7,801+,6.8,801+,45.3,446,33.9,565,50.9,801+,2.4,801+,36.3,801+,-
1383,1201-1400,1201-1400,University of Miskolc,Hungary,Europe,M,FO,VH,Private not for Profit,9,701+,10.3,701+,20.4,801+,4.7,801+,3,801+,6.4,801+,5,801+,24.5,801+,16.3,801+,27.8,801+,-
1388,1201-1400,1201-1400,University of Pannonia,Hungary,Europe,S,FO,VH,Public,6.1,701+,7.3,701+,33.3,584,14.9,801+,5.8,801+,7.2,801+,5.6,801+,55.5,760,5,801+,23.4,801+,-
1392,1201-1400,1201-1400,University of Primorska,Slovenia,Europe,M,CO,HI,Public,3.6,701+,5.7,701+,12.3,801+,8.3,801+,31.6,567,38.9,506,37.4,523,45.4,801+,13.2,801+,21.8,801+,-
1394,1201-1400,1201-1400,University of Rijeka,Croatia,Europe,L,CO,VH,Public,7.3,701+,8.4,701+,17,801+,8.7,801+,2.8,801+,5.8,801+,10.1,801+,50.2,801+,15.3,801+,42.4,801+,-
1398,1201-1400,1201-1400,University of Silesia in Katowice,Poland,Europe,L,CO,VH,Public,8.6,701+,6.8,701+,31.3,611,5.7,801+,5.1,801+,7.4,801+,12,801+,59.3,703,10.1,801+,44.4,801+,-
1400,1201-1400,1201-1400,University of Split,Croatia,Europe,L,FC,HI,Public,7.6,701+,9.2,701+,8.7,801+,8.8,801+,1.6,801+,3.3,801+,7.5,801+,52.3,801+,22.4,687,44.8,801+,-
1404,1201-1400,1201-1400,University POLITEHNICA of Bucharest,Romania,Europe,L,FO,VH,Public,6.3,701+,20.8,630,4.9,801+,14.6,801+,1.7,801+,4.7,801+,3.7,801+,61.4,672,9.4,801+,22.8,801+,-
1405,1201-1400,1001-1200,University Toulouse – Jean Jaurès,France,Europe,L,FO,VH,Public,13.1,701+,4.8,701+,1.8,801+,9,801+,34.1,544,31,580,23.2,717,64,635,2.4,801+,30.1,801+,-
1406,1201-1400,1201-1400,West University of Timisoara,Romania,Europe,L,CO,HI,Public,13.7,701+,17,701+,7.4,801+,5.5,801+,2,801+,10.6,801+,14.8,801+,29.8,801+,32.8,518,42.2,801+,-
1441,1401+,1201-1400,Lublin University of Technology,Poland,Europe,M,FO,VH,Public,6.9,701+,3,701+,28.1,680,8.9,801+,2.5,801+,29.5,595,27.5,645,14.4,801+,3.9,801+,17.7,801+,-
1464,1401+,1401+,Stefan cel Mare University of Suceava,Romania,Europe,M,CO,HI,Public,5.5,701+,5.3,701+,7.1,801+,8.9,801+,3.3,801+,38.7,509,35.4,545,25.2,801+,5.3,801+,34.3,801+,-
1488,1401+,1201-1400,Università degli studi di Bergamo,Italy,Europe,L,FO,VH,Public,7.2,701+,4.2,701+,2.5,801+,11.9,801+,5.8,801+,12.3,801+,18.2,790,39.1,801+,5.5,801+,31.4,801+,-
1497,1401+,1401+,University of Oradea,Romania,Europe,L,FC,MD,Public,7.5,701+,4.2,701+,6.5,801+,4,801+,1.7,801+,9.4,801+,13.8,801+,38.8,801+,9,801+,41.8,801+,-
