Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
402,401,431,University of Granada,Spain,Europe,XL,FC,VH,Public,59.3,178,24.3,554,11.2,801+,26.3,622,9.9,801+,31.7,572,37.6,522,96.4,51,13.1,801+,58.4,536=,37.4
403,401,421,University of Limerick,Ireland,Europe,L,FC,HI,Public,27.9,453,36.6,390,23.6,758,34.5,527,93.2,198,48.4,417,53.3,385,71.6,506,14.7,801+,75.9,223=,37.4
405,404,375,University of Florence,Italy,Europe,XL,FC,VH,Public,45.1,262,16.9,701+,7,801+,49.7,376,11.2,801+,20.8,713,26.9,655,86.1,234,36.9,468,72.9,275=,37.2
406,406,405,Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,M,FO,VH,Public,9.4,701+,38,367,42.7,468,69,222,34.4,542,77.5,237,79.7,208,58.7,711,17.8,764,39.1,801+,37.1
408,408,371,University of Turin,Italy,Europe,XL,FC,VH,Public,48.1,237,14.3,701+,5.1,801+,42.5,447,5.2,801+,10.1,801+,16,801+,90,175,61.4,257,78.7,188=,36.9
409,409,442,Università  Cattolica del Sacro Cuore,Italy,Europe,L,FO,VH,Private not for Profit,33.1,370,43.1,311,28.7,663,40.3,466,17.1,764,13.9,801+,19.9,763,72.4,492,42.7,411,62,458=,36.8
411,410,421,Dublin City University,Ireland,Europe,L,FC,HI,Public,29.2,423,37.5,376,27.8,683,22,685,80.8,292,43.2,466,48.4,429,78,381,40.2,436,79.7,175=,36.7
417,416,428,Julius-Maximilians-Universität Würzburg,Germany,Europe,L,FC,VH,Public,21.4,579,9.9,701+,8.9,801+,87,115,60.1,389,19.7,731,14.9,801+,78.3,379,17,783,50.2,699=,36.5
418,416,487,Universität Mannheim,Germany,Europe,M,FO,VH,Public,20.3,604,76.3,120,4.6,801+,42.4,449,55.7,407,41.2,481,46.6,445,25.7,801+,45,390,51.3,677=,36.5
419,419,359,University of Aveiro,Portugal,Europe,L,CO,VH,Public,18.6,658,15.5,701+,13.1,801+,94.7,73,5.2,801+,24.8,667,30.9,605,85.5,245,3.3,801+,64.7,405=,36.4
421,420,456,Université de Strasbourg,France,Europe,XL,FC,VH,Public,50.1,224,16.3,701+,7.3,801+,31.5,570,41.7,484,45.4,445,33.9,564,90.7,166,29.8,552,47.3,780=,36.3
422,422,436,Universitat Politecnica de Valencia,Spain,Europe,XL,CO,VH,Public,38,314,27.6,501,35.3,561,31.2,572,7.7,801+,41.5,479,46.9,443,85.8,240,22.4,689,79.5,180=,36.2
424,423,462,Tampere University,Finland,Europe,L,FC,VH,Public,29.2,424,24.7,543,24.8,737,47.7,392,61.6,378,13.9,801+,19.6,771,84,277,42.1,417,49.2,729=,36.1
425,423,440,Università  degli Studi di Pavia,Italy,Europe,L,FC,VH,Public,29.4,420,12.9,701+,13.5,801+,72.3,196,8.4,801+,24.6,669,30.7,607,80.4,346,20.4,718,74.9,237=,36.1
427,427,413,Graz University of Technology,Austria,Europe,M,FO,VH,Public,21.9,568,22.1,601,99.2,43,18.8,735,86.6,248,71.3,267,53.1,388,52.3,801+,15.2,801+,42.6,801+,36
428,428,481,Aix-Marseille University,France,Europe,XL,FC,VH,Public,51,218,15.9,701+,11,801+,29.7,591,22.8,678,29,604,21.7,734,99,15,29,571,63.2,436=,35.9
431,430,445,Universitat de Valencia,Spain,Europe,XL,FC,VH,Public,49.7,227,17.2,701+,17.3,801+,31,575,2.7,801+,39.4,497,44.8,465,91.4,151,16.5,797,74.1,255=,35.7
432,430,448,Université de Montpellier,France,Europe,XL,FO,VH,Public,26.7,471,4.9,701+,11.7,801+,72.3,195,29,594,42.8,468,48,433,99.4,10,18.8,745,55.3,596=,35.7
434,433,426,Leibniz Universität Hannover,Germany,Europe,L,FO,VH,Public,29.6,419,37.2,378,19.9,801+,33.7,540,54.7,413,33.3,556,39.1,507,80.5,345,20.3,720,78.7,188=,35.6
437,436,466,Universitat Ramon Llull,Spain,Europe,L,CO,HI,Private not for Profit,17.5,701+,72.5,136,10.3,801+,15.5,797,80.4,295,68,290,71.1,261,31.3,801+,81.2,152,56.7,562=,35.2
438,438,435,IE University,Spain,Europe,M,FO,HI,Private for Profit,12.7,701+,70.4,144,47.6,409,3.8,801+,94,194,100,3,100,1,6.4,801+,70.4,206,53,646=,35.1
444,440,466,Universität Konstanz,Germany,Europe,M,CO,VH,Public,25.5,499,18.7,692,50.3,380,33.4,544,91.5,213,26.8,634,32.8,577,63.7,640,23,673,69.9,316=,34.9
446,446,439,Vilnius University,Lithuania,Europe,L,FC,HI,Public,26.9,467,28,496,73.1,210,6.2,801+,28.4,601,28.5,609,34.5,557,80.2,351,91.3,93,70.3,313=,34.8
448,448,527,Universität Bayreuth,Germany,Europe,M,CO,VH,Public,14.1,701+,22.3,596,64.6,272,39.2,481,63.6,365,39.7,494,45.1,462,82.3,306,16.2,801+,69.9,316=,34.5
452,452,501,Johannes Gutenberg Universität Mainz,Germany,Europe,L,FO,VH,Public,32.5,378,19.8,667,70.5,225,18.1,750,51.3,433,26.4,641,32.4,584,87.5,209,18.1,756,52.2,658=,34.2
455,452,389,University of Cyprus,Cyprus,Asia,M,CO,VH,Public,14.6,701+,10.8,701+,10.3,801+,62.3,270,94.3,187,42.2,471,46.1,452,69.8,534,54.6,306,52.9,650,34.2
464,461,389,Università Vita-Salute San Raffaele,Italy,Europe,S,SP,VH,Private not for Profit,4.8,701+,3.1,701+,89.3,108,99.5,28,6.2,801+,11.3,801+,16.3,801+,35.5,801+,4.1,801+,26.1,801+,33.9
472,469,462,Universidad de Sevilla,Spain,Europe,XL,FC,VH,Public,52.7,210,20.6,640,23.4,763,15.1,801+,5.1,801+,25.8,648,31.9,591,90.8,164,22.1,694,66.1,376=,33.7
474,473,472,Johannes Kepler University Linz,Austria,Europe,M,FO,VH,Public,17.5,700,14.9,701+,80,166,25.2,635,89.9,223,57.5,360,61.6,327,56.6,743,15.3,801+,61,480=,33.5
478,477,474,Universität Potsdam,Germany,Europe,L,FO,VH,Public,22.3,563,5,701+,28.4,673,53.7,347,60.9,384,34.9,541,40.6,499,92.6,133,4.2,801+,75.3,231,33.4
485,485,508,Aristotle University of Thessaloniki,Greece,Europe,XL,FC,VH,Public,38.2,311,35.9,402,6.4,801+,28.4,602,2.1,801+,8.1,801+,13.8,801+,90.9,160,48.3,359,66.4,371=,32.9
486,485,506,University of Trento,Italy,Europe,L,CO,VH,Public,34.8,346,18.6,693,32.9,589,40,470,32.3,560,11.3,801+,17.2,801+,85.6,244,7.1,801+,51.8,665=,32.9
488,487,380,Technische Universität Bergakademie Freiberg,Germany,Europe,S,FO,VH,,7.4,701+,6.4,701+,10.1,801+,90.9,101,59.7,392,100,25,100,16,35.1,801+,1.4,801+,32.9,801+,32.8
489,487,527,Warsaw University of Technology,Poland,Europe,L,FO,VH,Public,28.4,442,72.4,137,55.7,337,9.5,801+,3.4,801+,17.6,771,23.7,710,63.8,638,15.9,801+,38.4,801+,32.8
494,494,535,Université de Bordeaux,France,Europe,XL,FO,VH,Public,43.2,274,10,701+,13.5,801+,28.1,605,31.7,566,35.2,539,40.9,498,93.5,113,25.3,635,56.5,571=,32.5
497,496,445,Justus-Liebig-Universität Gießen,Germany,Europe,L,FC,VH,Public,15.4,701+,9.6,701+,2.7,801+,85.6,121,19.3,724,28.9,605,21.7,738,80.7,340,17,784,53.4,632=,32.4
498,498,489,University of Jyväskylä,Finland,Europe,M,FO,VH,Public,23.4,539,13.7,701+,87.8,112,20.8,702,51.1,435,6.3,801+,11.8,801+,84.3,269,13.9,801+,70.6,308=,32.3
530,526,539,University of Salamanca,Spain,Europe,L,FC,VH,Public,36.9,323,23.5,568,36.8,545,11.8,801+,10.2,801+,25.9,647,31.9,590,86.3,231,33.4,506,70.8,303=,30.9
532,530,592,Universität Bremen,Germany,Europe,L,CO,VH,Public,25.7,491,14.2,701+,15.2,801+,39.5,477,61.4,381,41.9,477,47.2,440,86.9,220,7.6,801+,54.9,605,30.8
533,530,547,University of Genoa,Italy,Europe,L,FC,VH,Public,28,451,10.6,701+,19.8,801+,52.6,358,9.2,801+,17.5,773,23.6,711,83.1,291,16.6,795,62.3,452=,30.8
539,535,527,Universität Leipzig,Germany,Europe,L,FC,VH,Public,31.5,391,14,701+,85.3,132,13,801+,,,24,673,18.1,795,82.7,298,15.9,801+,57.2,557,30.6
540,535,596,University of Ljubljana,Slovenia,Europe,XL,FC,VH,Public,29.7,414,18.9,689,45.6,431,11,801+,7.1,801+,18.1,760,13.7,801+,85.7,241,98.1,41,54.2,619=,30.6
545,542,513,University of Milano-Bicocca,Italy,Europe,L,FO,VH,Public,28.6,438,19.2,677,5.2,801+,56,317,7.3,801+,8.3,801+,14,801+,80.8,335,15,801+,53.6,630=,30.3
547,546,554,Universität Ulm,Germany,Europe,M,FO,VH,Public,10.9,701+,10.2,701+,83.9,147,43.8,430,47.5,450,30.8,582,23.1,718,67.2,585,3.4,801+,38.7,801+,30.2
