name,city,student_fees,highest_degree,staff_fte,web_pages
University College of Teacher Education Tyrol,Innsbruck,,2.0,,
University College of Teacher Education Edith Stein,Innsbruck,,2.0,,
University College of Teacher Education Vorarlberg,Feldkirch,,2.0,,
University College of Teacher Education in Vienna,Vienna,,2.0,,
Christian University College of Teacher Education Vienna/Krems,Vienna,,2.0,,
University College of Teacher Education for Agricultural and Environmental Education Vienna,Vienna,,2.0,,
University of Applied Sciences Burgenland,Eisenstadt,,2.0,273.42,
Salzburg University of Applied Sciences,Puch bei Hallein,,2.0,448.4707,
St. PÃ¶lten University of Applied Sciences,St. PÃ¶lten,,2.0,475.48,
CAMPUS 02 University of Applied Sciences,Graz,,2.0,158.3854,
University of Applied Sciences BFI Vienna,Vienna,,2.0,226.53,
Management Center Innsbruck,Innsbruck,,2.0,408.9125,
University of Applied Sciences Kufstein Tirol,Kufstein,,2.0,148.6588,
University of Applied Sciences Upper Austria,Wels,,2.0,898.0201,
University of Applied Sciences Campus Vienna,Vienna,,2.0,898.4506,
Lauder Business School,Vienna,,2.0,8.8597,
Health University of Applied Sciences Tyrol,Innsbruck,,2.0,217.1639,
Ferdinand Porsche FERNFH,Wiener Neustadt,,2.0,72.7061,
FHWien der WKW,Vienna,,2.0,224.9896,
Vorarlberg University of Applied Sciences,Dornbirn,,2.0,343.6352,
University of Applied Sciences Technikum Vienna,Vienna,,2.0,497.5684,
IMC University of Applied Sciences Krems,Krems an der Donau,,2.0,352.4389,
University of Applied Sciences Wiener Neustadt,Wiener Neustadt,,2.0,518.9137,
Carinthia University of Applied Sciences,Spittal an der Drau,,2.0,436.1257,
FH JOANNEUM University of Applied Sciences,Graz,,2.0,748.3026,
University of Applied Sciences for Health Professions Upper Austria,Linz,,2.0,194.2876,
Karl Landsteiner University of Health Sciences,Krems an der Donau,,2.0,208.82,
JAM MUSIC LAB Private University for Jazz and Popular Music,Vienna,,2.0,19.5,
Stella Vorarlberg Private University College of Music,,,2.0,93.77,
Joseph Haydn Private University College Burgenland (JHP),Eisenstadt,,2.0,47.99,
Gustav Mahler Private University of Music,Klagenfurt,,2.0,103.54,
Bertha von Suttner St. PÃ¶lten Private University,St. PÃ¶lten,,2.0,36.71,
Haute Ecole ICHEC - ECAM - ISFSC,Brussels,,2.0,,
Haute Ecole Albert Jacquard,Namur,,2.0,,
EPHEC University College,Woluwe-Saint-Lambert,,2.0,,
HELMo University College,LiÃ¨ge,,2.0,,
HEPH-Condorcet,Mons,,2.0,,
Royal Academy of fine-Arts of Brussels,Brussels,,2.0,,
Royal Conservatoire of Brussels,Brussels,,2.0,,
Conservatoire royal de LiÃ¨ge,LiÃ¨ge,,2.0,,
La Cambre,Brussels,,2.0,,
ESA Saint-Luc LiÃ¨ge,LiÃ¨ge,,2.0,,
Erasmus University College Brussels,Anderlecht,4519376.88,2.0,572.16,
Antwerp maritime academy,Antwerp,485595.67,2.0,47.15,
University College Ghent,Gent,13124494.48,2.0,1158.66,
LUCA School of Arts,Schaarbeek,2754763.6099999985,2.0,450.85,
Karel de Grote University College,Antwerp,10056384.959999518,2.0,839.73,
University College of Namur - LiÃ¨ge - Luxembourg,Namur,,2.0,,
ArtsÂ² Academy of Arts,Mons,,2.0,,
AP University College Antwerpen,Antwerp,9837697.019999914,2.0,1046.5,
PXL University College,Hasselt,7066920.779999999,2.0,678.65,
ESA Saint-Luc Bruxelles,Brussels,,2.0,,
University College of the Province of Namur,Namur,,1.0,,
Superior School of Circus Arts,Anderlecht,,1.0,,
University college Arteveldehogeschool,Gent,12023040.44,1.0,915.02,
Howest,,,,,
Thomas More Kempen,Geel,6612935.449999999,1.0,575.48,
UC Leuven,Leuven,8687235.360000001,1.0,601.14,
UC Limburg,Diepenbeek,4580458.47,1.0,358.96,
Catholic University College Vives Zuid,Kortrijk,10113420.64,1.0,715.2,
ODISEE,Brussels,11124210.19,1.0,759.61,
Thomas More Mechelen-Antwerpen,Mechelen,9028823.0,1.0,580.38,
"""South-West University """"Neofit Rilski""""""",Blagoevgrad,,3.0,,
Burgas Professor Assen Zlatarov University,Burgas,,3.0,,
Burgas Free University,Burgas,,3.0,,
University of Economics - Varna,Varna,,3.0,,
Technical University of Varna,Varna,,3.0,,['http://www.tu-varna.acad.bg/']
"""Varna Medical University """"prof. dr. Paraskev Stoyanov""""""",Varna,,3.0,,
"""Varna Free University """"Chernorizets Hrabar""""""",Varna,,3.0,,
Nikola Vaptsarov Naval Academyâ€™,Varna,,3.0,,
St. Cyril and St. Methodius University of Veliko Tarnovo,Veliko Tarnovo,,3.0,,
Vasil Levski National Military University,Veliko Tarnovo,,3.0,,
D.A.Tsenov Academy of Economics,Svishtov,,3.0,,
Technical University of Gabrovo,Gabrovo,,3.0,,['http://www.tugab.bg/']
Medical University - Pleven,Pleven,,3.0,,
Paisii Hilendarski University of Plovdiv,Plovdiv,,3.0,,
University of Food Technologies â€“ Plovdiv,Plovdiv,,3.0,,
Agricultural University â€“ Plovdiv,Plovdiv,,3.0,,
Medical University of Plovdiv,Plovdiv,,3.0,,
University of Agribusiness and Rural Development,Plovdiv,,3.0,,
University of Security and Economics,Plovdiv,,3.0,,
Angel Kanchev University of Ruse,Ruse,,3.0,,
Sofia University St. Kliment Ohridski,Sofia,,3.0,,
University of National and World Economy,Sofia,,3.0,,['http://www.unwe.acad.bg/']
Technical University of Sofia,Sofia,,3.0,,['http://www.tu-sofia.bg/']
University of Chemical Technology and Metallurgy,Sofia,,3.0,,['http://www.uctm.edu/']
St. Ivan Rilski University of Mining and Geology,Sofia,,3.0,,
University of Forestry,Sofia,,3.0,,
Medical University - Sofia,Sofia,,3.0,,
National Sports Academy Vasil Levski,Sofia,,3.0,,
American University in Bulgaria,Blagoevgrad,,2.0,,['http://www.aubg.bg/']
Varna University of Management,Varna,,2.0,,
European Polytechnical University - Pernik,Pernik,,2.0,,
Alexander College,Larnaca,,2.0,26.0,
American College,Nicosia,,2.0,40.0,
C.D.A. College,Nicosia,,2.0,95.0,
College of Tourism and Hotel Management,Nicosia,,2.0,19.0,
Global College,Nicosia,,2.0,49.0,
Internapa College,Famagusta,,2.0,18.0,
The CTL Eurocollege,Limassol,,2.0,20.0,['http://www.ctleuro.ac.cy/']
The Cyprus Institute of Marketing,Nicosia,,2.0,39.0,
The Philips College,Nicosia,,2.0,25.0,
Ledra College,Nicosia,,2.0,19.0,
City Unity College Nicosia,Nicosia,,2.0,31.0,
American University of Cyprus,Larnaka,,2.0,30.0,
Philips University,Strovolos,,2.0,22.0,
American University of Beirut Mediterraneo,Paphos,,2.0,23.0,
College of Polytechnics,,,,,
Institute of Technology and Business in ÄŒeskÃ© BudÄ›jovice,ÄŒeskÃ© BudÄ›jovice,,2.0,270.184,
University College Prague,Prague,,2.0,76.0,
Å koda Auto University,MladÃ¡ Bolesav,,2.0,88.29700000000001,
PRIGO College,HavÃ­Å™ov,,2.0,34.0,
Ambis College,Prague,,2.0,196.915,
Prague City University,Prague,,2.0,11.63,
Allensbach University,Konstanz,2035771.0,2.0,21.0,
Bavarian School of Public Policy,Munich,0.0,2.0,44.0,
Dresden International University GmbH,Dresden,4086545.0,2.0,40.0,
Friedensau Adventist University,MÃ¶ckern,716289.0,2.0,58.0,
Academy of Fine Arts in Munich,Munich,3797.0,2.0,126.0,
University of Television and Film Munich,Munich,34451.0,2.0,104.0,
Academy of Fine Arts in Nuremberg,Nuremberg,1605.0,2.0,58.0,
Nuremberg School of Music,Nuremberg,47448.0,2.0,119.0,
WeiÃŸensee Academy of Art Berlin,Berlin,143439.0,2.0,145.0,
Academy of Music Hanns Eisler Berlin,Berlin,246700.0,2.0,180.0,
Ernst Busch Academy of Dramatic Art,Berlin,51271.0,2.0,111.0,
University of the Arts Bremen,Bremen,166331.0,2.0,174.0,
Hochschule der Bildenden KÃ¼nste SaarbrÃ¼cken,SaarbrÃ¼cken,73392.0,2.0,62.0,
Palucca University of Dance Dresden,Dresden,119268.0,2.0,67.0,
Academy of Visual Arts Leipzig,Leipzig,57506.0,2.0,100.0,
Aalen University,Aalen,1292976.0,2.0,640.0,
Albstadt-Sigmaringen University,Albstadt,1257048.0,2.0,289.0,
Biberach University of Applied Sciences,Biberach an der Riss,691822.0,2.0,298.0,
University of Applied Sciences Esslingen,Esslingen am Neckar,1252878.0,2.0,669.0,
Furtwangen University,Furtwangen im Schwarzwald,2008247.0,2.0,684.0,
Heilbronn University of Applied Sciences,Heilbronn,1499649.0,2.0,729.0,
Karlsruhe University of Applied Sciences,Karlsruhe,1636954.0,2.0,715.0,
University of Applied Labour Studies of the Federal Employment Agency,Mannheim,0.0,2.0,166.0,
University of Applied Sciences Mannheim,Mannheim,1024450.0,2.0,538.0,
Nuertingen-Geislingen University,Geislingen an der Steige,925093.0,2.0,469.0,
Offenburg University,Offenburg,1169977.0,2.0,476.0,
University of Applied Sciences Ravensburg-Weingarten,Weingarten,910523.0,2.0,311.0,
Reutlingen University,Reutlingen,1465505.0,2.0,638.0,
University of Applied Forest Sciences Rottenburg,Rottenburg am Neckar,203080.0,2.0,96.0,
University of Design SchwÃ¤bisch-GmÃ¼nd,SchwÃ¤bisch GmÃ¼nd,133429.0,2.0,86.0,
Stuttgart University of Applied Sciences,Stuttgart,990370.0,2.0,423.0,
University of Applied Sciences Ulm,Ulm,396270.0,2.0,338.0,
SRH Fernhochschule Riedlingen,Riedlingen,27609460.0,2.0,251.0,
Evangelische Hochschule Ludwigsburg,Ludwigsburg,270657.0,2.0,75.0,
Catholic University of Applied Sciences Freiburg,Freiburg im Breisgau,1260656.0,2.0,139.0,
Ostbayerische Technische Hochschule Amberg-Weiden,Amberg,586073.0,2.0,413.0,['https://www.oth-aw.de/']
Ansbach University of Applied Sciences,Ansbach,364520.0,2.0,335.0,
Aschaffenburg University of Applied Sciences,Aschaffenburg,426396.0,2.0,365.0,
Augsburg University of Applied Sciences,Augsburg,508107.0,2.0,634.0,
Coburg University of Applied Sciences,Coburg,1116128.0,2.0,494.0,
Deggendorf Institute of Technology,Deggendorf,2199416.0,2.0,1071.0,
Hof University of Applied Sciences,Hof,3690949.0,2.0,428.0,
Technische Hochschule Ingolstadt,Ingolstadt,1614229.0,2.0,782.0,['https://www.thi.de/']
Kempten University of Applied Sciences,Kempten,1057272.0,2.0,577.0,
University of Applied Sciences Landshut,Landshut,100.0,2.0,393.0,
Munich University of Applied Sciences,Munich,162703.0,2.0,1454.0,
Neu-Ulm University of Applied Sciences,Neu-Ulm,12835.0,2.0,294.0,
Technische Hochschule NÃ¼rnberg Georg Simon Ohm,Nuremberg,1245807.0,2.0,1243.0,
Ostbayerische Technische Hochschule Regensburg,Regensburg,1141093.0,2.0,928.0,
Rosenheim University of Applied Sciences,Rosenheim,1186278.0,2.0,610.0,['https://th-rosenheim.de/']
Weihenstephan-Triesdorf University of Applied Sciences,Freising,358456.0,2.0,745.0,
University of Applied Sciences WÃ¼rzburg-Schweinfurt,Schweinfurt,101008.0,2.0,803.0,
University of Applied Management,Erding,14705289.0,2.0,127.0,
Macromedia University of Applied Sciences,Munich,46147278.0,2.0,437.0,
Munich Business School MÃ¼nchen (Priv. FH),Munich,6711203.0,2.0,53.0,
Evangelische Hochschule NÃ¼rnberg (FH),Nuremberg,330319.0,2.0,122.0,
Katholische Stiftungsfachhochschule MÃ¼nchen,Munich,544552.0,2.0,226.0,
Alice Salomon Hochschule Berlin,Berlin,437318.0,2.0,342.0,
Beuth University of Applied Sciences,Berlin,1313519.0,2.0,879.0,
Berlin University of Applied Sciences,Berlin,4698778.0,2.0,1041.0,
Berlin School of Economics and Law,Berlin,3942677.0,2.0,777.0,
bbw University of Applied Sciences,Berlin,5124591.0,2.0,63.0,
Hochschule fÃ¼r Gesundheit und Sport Berlin (Priv. FH),Berlin,8301249.0,2.0,82.0,
IB-Hochschule Berlin (Priv. FH),Berlin,3555074.0,2.0,65.0,
Mediadesign University of Applied Sciences,Berlin,7952140.0,2.0,77.0,
SRH University Berlin,Berlin,23834936.0,2.0,249.0,
Protestant Fachhochschule Berlin,Berlin,156630.0,2.0,139.0,
Catholic University for Applied Sciences Berlin,Berlin,647887.0,2.0,116.0,
University of Applied Sciences in Eberswalde,Eberswalde,228669.0,2.0,378.0,
Potsdam University of Applied Sciences,Potsdam,544881.0,2.0,362.0,
Technical University of Applied Sciences Wildau,Wildau,1677444.0,2.0,403.0,
City University of Applied Sciences Bremen,Bremen,828554.0,2.0,674.0,
University of Applied Sciences Bremerhaven,Bremerhaven,272884.0,2.0,284.0,
University of Applied Sciences Apollon,Bremen,10328219.0,2.0,119.0,
EuropÃ¤ische FernHochschule Hamburg GmbH Hamburg (Priv. FH),Hamburg,26729200.0,2.0,228.0,
HFH Hamburger Fern-Hochschule (Priv. FH),Hamburg,31633088.0,2.0,548.0,
HSBA Hamburg School of Business Administration (Priv. FH),Hamburg,6725670.0,2.0,64.0,
Darmstadt University of Applied Sciences,Darmstadt,1690257.0,2.0,1253.0,
Frankfurt University of Applied Sciences,Frankfurt am Main,1827433.0,2.0,1075.0,
Technische Hochschule Mittelhessen,GieÃŸen,1605497.0,2.0,1119.0,['https://www.thm.de/']
accadis Hochschule Bad Homburg (Priv. FH),Bad Homburg,4062433.0,2.0,35.0,
Wilhelm BÃ¼chner Hochschule Darmstadt (Priv. Fern-FH),Pfungstadt,16224959.0,2.0,153.0,
Fresenius University Applied Sciences,Idstein,89001119.0,2.0,1048.0,
DIPLOMA Hochschule,BÃ¼ckeburg,16502321.0,2.0,201.0,
Neubrandenburg University of Applied Sciences,Neubrandenburg,224768.0,2.0,282.0,
Stralsund University of Applied Sciences,Stralsund,5122.0,2.0,253.0,
Wismar University of Applied Sciences Technology,,,,,
Ostfalia University of Applied Sciences,WolfenbÃ¼ttel,1304855.0,2.0,896.0,
Hannover University of Applied Sciences and Arts,Hannover,248000.0,2.0,864.0,
University of Applied Sciences and Arts Hildesheim/Holzminden/GÃ¶ttingen,Hildesheim,539267.0,2.0,773.0,
OsnabrÃ¼ck University of Applied Sciences,OsnabrÃ¼ck,2679136.0,2.0,1360.0,
PFH â€“ Private University of Applied Sciences,GÃ¶ttingen,16004702.0,2.0,116.0,
University of Applied Sciences in Hannover,Hannover,3813119.0,2.0,22.0,
HKS - University of applied sciences and arts in Ottersberg,Ottersberg,1308770.0,2.0,34.0,
Private Hochschule fÃ¼r Wirtschaft und Technik Vechta/Diepholz/Oldenburg,Vechta,2377357.0,2.0,66.0,
MÃ¼nster University of Applied Sciences,MÃ¼nster,0.0,2.0,1245.0,
IU International University of Applied Sciences,Bad Honnef,443425244.0,2.0,1291.0,
EBZ Business School - University of Applied Sciences,Bochum,3900068.0,2.0,56.0,
University of Applied Sciences - Bonn,Bonn,2874509.0,2.0,75.0,
European University of Applied Sciences,BrÃ¼hl,14526319.0,2.0,132.0,
FOM University of Applied Sciences,Essen,161823693.0,2.0,1390.0,
SRH Hochschule fÃ¼r Logistik und Wirtschaft Hamm (Priv. FH),Hamm,5536212.0,2.0,71.0,
University of Europe for Applied Sciences,Iserlohn,36537265.0,2.0,180.0,
Rheinische Fachhochschule Cologne,Cologne,0.0,2.0,275.0,
Private Fachhochschule der Wirtschaft Paderborn,Paderborn,13715199.0,2.0,86.0,
Fachhochschule der Diakonie Bielefeld-Bethel,Bielefeld,2441114.0,2.0,30.0,
Nordrhein-Westfalen Catholic University of Applied Sciences,MÃ¼nster,989788.0,2.0,477.0,
TH Bingen University of Applied Sciences,Bingen am Rhein,571224.0,2.0,232.0,
Kaiserslautern University of Applied Sciences,Kaiserslautern,8422.0,2.0,506.0,
Koblenz University of Applied Sciences,Koblenz,114998.0,2.0,580.0,
University of Applied Sciences Ludwigshafen am Rhein,Ludwigshafen am Rhein,85357.0,2.0,318.0,
Mainz University of Applied Sciences,Mainz,80709.0,2.0,514.0,
Trier University of Applied Sciences,Trier,145687.0,2.0,676.0,
Worms University of Applied Sciences,Worms,97239.0,2.0,240.0,
Mainz Catholic University of Applied Sciences,Mainz,346092.0,2.0,109.0,
University of Applied Sciences SaarbrÃ¼cken,SaarbrÃ¼cken,1312025.0,2.0,608.0,
University of Applied Sciences Mittweida,Mittweida,1591837.0,2.0,539.0,
University of Applied Sciences Zwickau,Zwickau,211478.0,2.0,543.0,
Flensburg University of Applied Sciences,Flensburg,118553.0,2.0,298.0,
Kiel University of Applied Sciences,Kiel,501125.0,2.0,514.0,
Technical University LÃ¼beck,LÃ¼beck,713095.0,2.0,467.0,
NORDAKADEMIE University of Applied Sciences,Elmshorn,11403545.0,2.0,80.0,
University of Applied Sciences,,,,,['http://www.tktk.ee/']
Erfurt University of Applied Sciences,Erfurt,158691.0,2.0,461.0,
Nordhausen University of Applied Sciences,Nordhausen,203974.0,2.0,240.0,
University of Applied Sciences Schmalkalden,Schmalkalden,157267.0,2.0,224.0,
SRH University of Applied Sciences Gera,Gera,7421021.0,2.0,70.0,
University of Public Administration Kehl,Kehl,112748.0,2.0,139.0,
University of Applied Sciences - Public Administration and Finance Ludwigsburg,Ludwigsburg,381538.0,2.0,219.0,
FH der Polizei Brandenburg (VerwFH) in Oranienburg,Oranienburg,0.0,2.0,458.0,
Hessische Hochschule fÃ¼r Polizei und Verwaltung,Wiesbaden,1220956.0,2.0,312.0,
Kommunale Hochschule fÃ¼r Verwaltung in Niedersachsen,Hannover,0.0,2.0,42.0,
University of Applied Sciences for Public Administration and Management of North Rhine-Westphalia,Gelsenkirchen,706236.0,2.0,813.0,
Federal University of Applied Administrative Sciences,BrÃ¼hl,4.0,2.0,903.0,
Hochschule fÃ¼r Ã¶ffentliche Verwaltung und Rechtspflege MeiÃŸen (FH),MeiÃŸen,0.0,2.0,166.0,
ThÃ¼ringer Fachhochschule fÃ¼r Ã¶ffentliche Verwaltung Gotha,Gotha,479965.0,2.0,87.0,
International Psychoanalytic University Berlin,Berlin,6056101.0,2.0,92.0,
Hochschule Emden/Leer,Emden,88462.0,2.0,449.0,
MSH Medical School Hamburg,Hamburg,45867988.0,2.0,,
Hamm-Lippstadt University of Applied Sciences,Hamm,900.0,2.0,406.0,
Cologne Business School (CBS) - European University of Applied Sciences (Priv. FH),Cologne,19373178.0,2.0,253.0,
University of Applied Management Studies,Mannheim,2227859.0,2.0,55.0,
Bard College Berlin,Berlin,8680082.0,2.0,76.0,
Akkon University for Applied Sciences,Berlin,5617604.0,2.0,65.0,
YMCA University of Applied Sciences,Kassel,2710532.0,2.0,31.0,
Leibniz - Fachhochschule Hannover (Priv. FH),Hannover,3582198.0,2.0,29.0,
Fliedner Fachhochschule DÃ¼sseldorf (Priv. ),DÃ¼sseldorf,9696695.0,2.0,107.0,
Fachhochschule Dresden (Priv. FH),Dresden,2902265.0,2.0,44.0,
Jade University of Applied Sciences,Wilhelmshaven,63000.0,2.0,640.0,
Berlin International University of Applied Sciences,Berlin,3421514.0,2.0,51.0,
NBS Northern Business School,Hamburg,2996130.0,2.0,56.0,
University of Applied Education,Berlin,1359919.0,2.0,18.0,
CODE University of Applied Sciences,Berlin,2886356.0,2.0,55.0,
Essen University of Fine Arts,Essen,2923827.0,2.0,39.0,
Evangelical University of Tabor,Marburg,579856.0,2.0,18.0,
HMU Health and Medical University,Erfurt,,2.0,,
University of Catholic Church Music and Music Education Regensburg,Regensburg,91777.0,2.0,39.0,
Design School Kolding,Kolding,423438.77920788096,2.0,,
Estonian Entrepreneurship University of Applied Sciences,Tallinn,4108878.0,2.0,,
Tallinn Health Care College,Tallinn,0.0,2.0,,
Tartu Health Care College,Tartu,0.0,2.0,,['http://www.nooruse.ee/']
Estonian Academy of Security Sciences,Tallinn,,2.0,,['http://www.sisekaitse.ee/']
Estonian Military Academy,Tartu,,2.0,,
Institute of Theology of the Estonian Evangelical Lutheran Church,Tallinn,,2.0,,
Theological Seminary,Tartu,,2.0,,
Lapland University of Applied Sciences,Rovaniemi,,2.0,392.4076999999999,
Ã…land University of Applied Sciences,Maarianhamina - Mariehamn,,2.0,,
HAAGA-HELIA University of Applied Sciences,Helsinki,,2.0,689.7374,
Metropolia University of Applied Sciences,Helsinki,,2.0,1016.2601000000006,['https://www.metropolia.fi/']
Novia University of Applied Sciences,Vaasa,,2.0,320.4959000000001,
Tampere University of Applied Sciences,Tampere,,2.0,711.8369000000002,
HÃ¤me University of Applied Sciences,HÃ¤meenlinna,,2.0,671.9221999999997,
Karelia University of Applied Sciences,Joensuu,,2.0,302.23890000000006,
Oulu University of Applied Sciences,Oulu,,2.0,443.84650000000016,
SeinÃ¤joki University of Applied Sciences,SeinÃ¤joki,,2.0,379.4716999999998,
Kajaani University of Applied Sciences,Kajaani,,2.0,270.0999999999999,
JAMK University of Applied Sciences,JyvÃ¤skylÃ¤,,2.0,807.5476999999984,
Satakunta University of Applied Sciences,Pori,,2.0,419.3799999999997,
Turku University of Applied Sciences,Turku,,2.0,741.4863000000003,
Arcada University of Applied Sciences,Helsinki,,2.0,176.7406,
Centria University of Applied Sciences,Kokkola,,2.0,339.3835,
Savonia University of Applied Sciences,Kuopio,,2.0,556.8500000000001,
Police University college,Tampere,,2.0,,
Diaconia University of Applied Sciences,Helsinki,,2.0,253.7931,['http://www.diak.fi/']
Vaasa University of Applied Sciences,Vaasa,,2.0,178.65649999999997,['http://www.puv.fi/']
Laurea University of Applied Sciences,Vantaa,,2.0,657.7924999999993,['http://www.laurea.fi/']
Humak University of Applied Sciences,Helsinki,,2.0,151.9337000000001,
South-Eastern Finland University of Applied Sciences,Mikkeli,,2.0,895.949599999997,
LAB University of Applied Sciences,Lahti,,2.0,558.5339999999999,
Ã‰cole supÃ©rieure d'arts et mÃ©dias de Caen - Cherbourg,Caen,,2.0,,
Ã‰cole d'ingÃ©nieurs en gÃ©nie des systÃ¨mes industriels,La Rochelle,,2.0,,
Catholic University of Toulouse,Toulouse,,2.0,,
French Civil Aviation University,Toulouse,,2.0,,
French national school for the judiciary,Bordeaux,,2.0,,
Catholic University College Vives Noord,Brugge,4046487.86,1.0,264.14,
Blagoevgrad College of Tourism,Blagoevgrad,,1.0,,
Luben Groys Theatre College,Sofia,,1.0,,
Casa College,Nicosia,,1.0,19.0,
Cyprus College,Nicosia,,1.0,43.0,['http://www.cycollege.ac.cy/']
Intercollege,Nicosia,,1.0,39.0,['http://www.intercollege.ac.cy/']
KES College,Nicosia,,1.0,38.0,
The Cyprus Police Academy,Nicosia,0.0,0.0,54.0,
Post-Secondary Institutes of Vocational Education and Training,Nicosia,,0.0,99.0,
University of Rennes 2 â€“ Upper Brittany,Rennes,1657723.0,3.0,,
University of Tours,Tours,4413375.0,3.0,,
Grenoble institute of technology,Grenoble,534311.0,3.0,,
Jean Monnet University,Saint-Ã‰tienne,2387407.0,3.0,,
Catholic University of Rennes,Bruz,,2.0,,
Ã‰cole des mÃ©tiers de l'environnement,Bruz,,2.0,,
Schwetzingen Technical Institute & Graduate Court Registrars' College,Schwetzingen,0.0,1.0,60.0,
Hochschule der Polizei Baden-WÃ¼rttemberg,Villingen-Schwenningen,0.0,1.0,282.0,
Hochschule fÃ¼r den Ã¶ffentlichen Dienst in Bayern,FÃ¼rstenfeldbruck,0.0,1.0,481.0,
Fachhochschule fÃ¼r Finanzen Brandenburg in KÃ¶nigs Wusterhausen,KÃ¶nigs Wusterhausen,0.0,1.0,53.0,
Hochschule fÃ¼r Ã¶ffentliche Verwaltung Bremen,Bremen,57895.0,1.0,52.0,
Norddeutsche Akademie fÃ¼r Finanzen und Steuerrecht Hamburg,Hamburg,0.0,1.0,33.0,
Hessische Hochschule fÃ¼r Finanzen und Rechtspflege,Rotenburg an der Fulda,656550.0,1.0,107.0,
University of Applied Sciences of Public Administration,,,,,
Fachhochschule fÃ¼r Finanzen NRW,Nordkirchen,1793589.0,1.0,290.0,
Hochschule fÃ¼r Finanzen Rheinland-Pfalz,Edenkoben,0.0,1.0,58.0,
University of Applied Sciences in Hachenburg,Hachenburg,0.0,1.0,96.0,
Hochschule fÃ¼r Ã¶ffentliche Verwaltung Rheinland-Pfalz,Mayen,220652.0,1.0,87.0,
Fachhochschule fÃ¼r Verwaltung SaarbrÃ¼cken,Quierschied,0.0,1.0,101.0,
Fachhochschule fÃ¼r Verwaltung und Dienstleistung Altenholz,Altenholz,9063940.0,1.0,132.0,
Akademie der Polizei Hamburg,Hamburg,0.0,1.0,48.0,
University College of Northern Denmark,HjÃ¸rring,7154303.506958891,1.0,,
University College South Denmark,Esbjerg,4512609.214994162,1.0,,
University College Lillebaelt,Odense,8819098.63237998,1.0,,
University College Absalon,SorÃ¸,6499724.999664471,1.0,,
VIA University College,Risskov,14223113.986229852,1.0,,['https://en.via.dk/']
The Copenhagen School of Design and Technology,Copenhagen,6847742.017742823,1.0,,
Zealand Institute of Business and Technology,KÃ¸ge,2641976.137110953,1.0,,
Dania Academy,Randers,4490669.449328269,1.0,,
IBA International Business Academy,Kolding,5054825.591539278,1.0,,
Copenhagen Business Academy,Copenhagen,9581815.324323235,1.0,,
EA Business Academy SouthWest,Esbjerg,2842775.1009945106,1.0,,
Business Academy of higher education MidWest (in Danish),Herning,1411027.1242400247,1.0,,
Business Academy Aarhus,Viby,6651277.026936343,1.0,,
Danish School of Media and Journalism,Aarhus,2574653.934424029,1.0,,
Svendborg International Maritime Academy (SIMAC),Svendborg,16905.74293038425,1.0,,
The Independent Academy for Free School Teaching,Vester Skerninge,473231.4217074448,1.0,,
University College Copenhagen,Copenhagen,17945653.008361407,1.0,,
Aarhus School of Marine and Technical Engineering,Aarhus,1989495.094552336,1.0,,
Copenhagen School of Marine Engineering and Technology Management,Lyngby,0.0,1.0,,
Fredericia School of Marine Engineering,Fredericia,76635.03737803487,1.0,,
MARTEC - Maritime and Polytechnic College,Frederikshavn,324643.4658900267,1.0,,
TTK University of Applied Sciences,Tallinn,0.0,1.0,,
Estonian Aviation Academy,Reola,0.0,1.0,,
Pallas University of Applied Sciences,Tartu,0.0,1.0,,
Baltic Methodist Theological Seminar,Tallinn,,1.0,,
Probation Learning Center,BirkerÃ¸d,,0.0,,
Police Academy,BrÃ¸ndby,,0.0,,
