QS_name,country,proposed_ETER_name,similarity,accept
Institut Polytechnique de Paris,France,Institut Catholique de Paris,81.4,
Universität des Saarlandes,Germany,Universität des Saarlandes Saarbrücken,81.2,
Università della Calabria,Italy,University of Calabria,80.9,
Nantes University,France,Le Mans University,80.0,
Universität Düsseldorf,Germany,Universität Kassel,80.0,
Verona University,Italy,Marconi University,80.0,
Goethe Universität Frankfurt am Main,Germany,Johann Wolfgang Goethe-Universität Frankfurt am Main,79.5,
University POLITEHNICA of Bucharest,Romania,University of Bucharest,79.3,
Catania University,Italy,Humanitas University,78.9,
Paris Lodron University of Salzburg,Austria,University of Salzburg,77.2,
Pavol Josef Safarik University,Slovakia,Pavol Jozef Šafárik University in Košice,77.1,
Babes-Bolyai University,Romania,"""Babes-Bolyai"" University Cluj-Napoca",76.7,
Université Sorbonne Paris Nord,France,Université Sorbonne Nouvelle - Paris 3,76.5,
University of Zilina,Slovakia,University of Žilina in Žilina,76.0,
"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,University G. d’Annunzío in Chieti-Pescara,75.8,
Leibniz Universität Hannover,Germany,Gottfried Wilhelm Leibniz Universität Hannover,75.7,
PSL University,France,PSL Research University,75.7,
Universidad del Pais Vasco,Spain,Universidad de Vigo,75.6,
AGH University of Krakow,Poland,University of Wrocław,75.6,
Université Paul-Valéry Montpellier 3,France,Université de Montpellier,75.4,
Lodz University,Poland,Kozminski University,74.3,
Università Vita-Salute San Raffaele,Italy,"Libera Università ""Vita Salute S.Raffaele"" MILANO",73.8,
Perugia University,Italy,Humanitas University,73.7,
Karl-Franzens-Universität Graz,Austria,Universität Graz,69.6,
University of Maynooth,Ireland,University of Limerick,68.2,
Universitat Jaume I,Spain,Universitat Ramón Llull,66.7,
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,Ostbayerische Technische Hochschule Amberg-Weiden,66.0,
Cracow University of Technology of Tadeusz Kościuszko,Poland,Czestochowa University of Technology,65.2,
Alma Mater Studiorum - University of Bologna,Italy,University of Bologna,64.6,
Université Paul Sabatier Toulouse III,France,Université de Toulon,63.2,
"Trinity College Dublin, The University of Dublin",Ireland,Trinity College Dublin,62.9,
Johannes Kepler University Linz,Austria,University of Linz,61.2,
Sciences Po Paris,France,University of Paris,55.6,
University of Galway / Ollscoil na Gaillimhe,Ireland,University of Limerick,54.5,
Sorbonne University (merged from Paris IV & UPMC),France,University of Paris,52.9,
